"0","　　　　　　"
"1"," エルアスタ ","  Eluasta   "
"2","  ルディア  ","   Rudia    "
"3"," クルスの村 ","Crus Village"
"4","ベルガの鉱山"," Belga Mine "
"5"," ネリアの港 ","Neria Harbor"
"6"," ロンドの港 ","Rondo Harbor"
"7","ラルファの砦"," Fort Larfa "
"8"," マスクーン ","  Maschun   "
"9","  リーゼル  ","   Riezel   "
"10","   海賊島   ","Pirate Isle "
"11"," スエルの村 ","Suil Village"
"12"," アムダの村 ","Amda Village"
"13"," ヨルドの港 "," Yold Harbor"
"14","ナッシュの町","  Nashieu  "
"15","   セリス   ","   Selis    "
"16"," バズヌーン ","  Vasnune   "
"17"," カウルの村 ","Caur Village"
"18","  エメの町  ","    E'me    "
"19"," ルドラの港 ","Rudra Harbor"
"20"," リシェール ","  Richelle  "
"21","ナスールの町","  Nasulle   "
"22","ファエトの村","Fayt Village"
"23"," ファンガス ","  Fangath   "
"24","コルクスの町","    Colx    "
"25","フィーンの砦"
"26","ギルモアの里"
"27"," ラスタバン "
"28"," 老夫婦の家 ","Couple's Hut"
"29"," オレアの家 ","Orea's House"
"30"," 森の一軒家 "," Forest Hut "
"31"," ロエルの家 ","Loell's Hut "
"32","ミラルダの家"," Miralda's "
"33","バーバラの家"," Barbara's "
"34","ルディア城門","Rudia Gates "
"35","  岬の洞窟  ","Headland Cv."
"36"," 流血の洞窟 ","Bloody Cave "
"37"," グエンの塔 ","Guenn Tower "
"38"," 試練の洞窟 ","Trials Cave "
"39","  王家の墓  ","Royal Tomb "
"40"," 国境の洞窟 ","Border Cave"
"41","   竜の卵   ","Dragonsegg "
"42"," カザミの塔 "," Vane Tower "
"43"," 風よけの穴 "," Lee Grotto "
"44","   狼の口   "," Wolf's Maw "
"45","  水晶の塔  ","Crystalspire"
"46","　  廃坑  　"
"47","  ニルギド  "
"48"," ギーラの道 "
"49"," バゼルの塔 "
"50"," バーニス城 "
