"e08a","<X0e><X1c>をもらいました。<X04><RETN>"
"e351","アクダムさま ばんざーい !
新しい 国王さま ばんざーい !"
"e388","<X1e>老人<X04>
アクダムが この国の王に
なろうとは ･ ･ ･

セリオスさまが この国を
お治めに なる日だけを 楽しみに
今まで 生きながらえてきたと
いうのに ･ ･ ･"
"e41a","<X1e>男<X04>
どうも あのアクダムって野郎は
うさんくさくて いまいち
信用ならねえな。"
"e466","<X1e>男<X04>
前の国王、アスエルさまが
生きていらしたころは、よかった。
何もかもが 平和だった。"
"e4bd","<X1e>男<X04>
私は 城の賢者に 呪文を教えて
もらおうと はるばるやって来たのに
かんじんの城の中に入れないなんて。

しょうがないから 今日はあきらめて
また 出直してくる ことにするよ。"
"e567","<X1e>女<X04>
ねえ、ちょっと あなたたち
あの話 聞いた？

なんでも お城に セリオス王子さまの名をかたる 不届き者が
やって来たんですって。"
"e5e5","<X1e>道具屋<X04>
ここは道具屋なんだが
今日は 休みなんだ ･ ･ ･

おめでたい 日だか なんだか
知らないけど ･ ･ ･

私は 今まで 一度も
店を 休んだことが ないんだ。
それだけが 自慢だったのに ･ ･ ･"
"e699","<X1e>武器屋<X04>
今日は 新しい国王さまを 祝う
めでたい日だ。

だから、
今日は お店を開いていないんだ。
悪いけれど、日を改めて
また来ておくれ。"
"e71f","<X1e>道具屋<X04>
<IF002f><JUMPe8a9>ここは道具屋ですが なんと
今日は 休みなのです。エヘヘ

なんと !!
アクダムさまが 王位につかれるので
店を開いては いけないのです。
エヘヘ

実は 私は 仕事が嫌いなので、
うれしくて 仕方が ありません。
こんなことなら 毎日 王さまが
代われば いいのになあ。 ･ ･ ･ ？

おっと こんなことが 兵士の耳に
入ったら 大変だ。いいものを
差し上げますから 今の話は
聞かなかったことに してくださいね。

<RET_IL><LOCe8a9>私の言ったことは 兵士には絶対に
内緒にしてくださいね。"
"e8e0","<X1e>兵士<X04>
今日は アクダムさまの
たいかん式が 行われるため
お城の中へ 入ることはできん。"
"e935","<X1e>兵士<X04>
アクダムさま ばんざーい !
新しい 国王さま ばんざーい !"
"e973","<X1e>兵士<X04>
<IF0414><JUMPe9e2>おい お前たち。
この辺で あやしげな子供を
見なかったか？

ちょうど お前ぐらいの
子供なんだが ･ ･ ･<END>
<LOCe9e2>あっ !! きさまだな !!
セリオス王子の名をかたる
不届き者と いうのは !!<SET0400>"
"ea2b","<X1e>兵士<X04>
逃げられるとでも 思っているのか !!"
"ea55","<X1e>ラウエル<X04>
<IF001e><JUMPeeb0>おお、リュナン。待っていたぞ。
ご苦労だった。

 ･ ･ そちらに おられる方が
セリオス王子か？

よくぞ ご無事で おられました
セリオス王子。

私の名は、ラウエル。
アクダムに 反抗する レジスタンスの一員です。

ここまで来れば もう安心。
まだ 城の連中は 王子さまが
逃げたことに 気がついて
いないようです。

しかし、いずれ奴らも こちらの方へ
探しに やって来るでしょう。

できるだけ 早く この町を脱出なさりクルスの村へ 向かわれたほうが
よろしいでしょう。

<X1e>セリオス<X04>
クルスの村？

<X1e>ラウエル<X04>
ええ、この町の東、ちょうど
岬の洞窟の 北にある
小さな村でございます。

そこに レジスタンスの リーダーの
アロンという方が おります。
かつて 王家に お仕えしていた
お方です。

きっと 王子さまの お力と
なってくださるでしょう。

幸いにも 王子さまは 小さいころに
エルアスタの町へ 移られたので
この町で 王子さまを 存じている者はほとんど おりません。

なんの 支障もなく この町から
脱出なさることが できましょう。

<X1e>セリオス<X04>
 ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･

<X1e>リュナン<X04>
 ･ ･ いかがなさいました？

<X1e>セリオス<X04>
母さんが ･ ･

<X1e>ラウエル<X04>
ご心配なく。
あとで 城のほうに さぐりを
入れてみます。

<X1e>リュナン<X04>
では、王子。
クルスの村へ 急ぎましょう。<END>
<LOCeeb0>さあ、早く クルスの村へ
お向かいください。"
