"e275","<X1e>賢者<X04>
わしは この国一の賢者じゃ。
そなたたちに 呪文を授けよう。<X0d>"
"e2b6","<X08>どの 呪文が 欲しいのじゃな？<RETN>"
"e2d4","誰の 呪文の書に 書き込むのじゃな？<RET_IL>"
"e2f7","どこに 書き込むのじゃな？<RETN>"
"e311","どれどれ、書き込むとしようか。<X0a>"
"e346","また、必要になったら
いつでも 来るがよい。"
"e4c7","<X1e>女<X04>
<IF0020><JUMPe500>今、料理中なんです。
話しかけないでください。<END>
<LOCe500>ここは調理場です。
昼食は 王子さまの 大好きな
ビーフシチューです。

王子さまのために 腕に
よりをかけて 料理いたします。"
"e577","<X1e>女<X04>
<IF0020><JUMPe598>ああ、忙しい 忙しい。<END>
<LOCe598>階段の下は 食料の倉庫に
なっております。"
"e5c1","<X1e>兵士<X04>
<IF0020><JUMPe613>城の２階や 地下は
立ち入ることが 禁じられているので
注意するように。<END>
<LOCe613>おや、セリオス王子。
町へ お出かけですか？"
"e63e","<X1e>兵士<X04>
<IF0020><JUMPe682>用がすんだら さっさと城から
出ていくように。
いいな !!<END>
<LOCe682>王子の おかげで ベルガの鉱山も
活気を 取り戻してきたそうです。"
"e6c1","<X1e>兵士<X04>
<IF0020><JUMPe701>この下は 牢屋だ。
お前も 牢屋の中に 入りたいのか？<END>
<LOCe701>ここは 地下牢への入口です。
中に入られても おもしろいものは
何も ございませんよ。"
"e753","<IF_NOT0020><JUMPe8cd><X1e>兵士<X04>
これは、王子さま。
この 財宝室に 何か ご用ですか？"
"e793","<IF_NOT0020><JUMPe8cd><X1e>兵士<X04>
これは セリオス王子。
お元気そうで 何よりです。"
"e7d0","<IF_NOT0020><JUMPe912><X1e>兵士<X04>
アクダムが 逃げてしまったら
あのモンスターどもも
姿を 消してしまったようです。"
"e82c","<IF_NOT0020><JUMPe912><X1e>兵士<X04>
かつて アクダムのもとにいた
兵士たちは すべて農民に
なったそうです。"
"e87e","<X1e>兵士<X04>
この上は 国王さまの お部屋に
なっておる。
お前たちを 通すことはできん。"
"e8cd","<X1e>兵士<X04>
なんだ お前たちは？
こっちに 来るんじゃない。
あっちへ行け !!"
"e912","<X1e>兵士<X04>
なんだ お前は !?
仕事のじゃまをするんじゃない。"
"e949","<X1e>老人<X04>
<IF0020><JUMPe9cf>んっ、おお あの船か。

あれはのう アクダムさまの船じゃ。
この国にある 船はのう
すべて アクダムさまの物だと
いうことじゃ。<END>
<LOCe9cf>んっ、おお あそこにあった船か。

あれはのう アクダムたちが
乗っていってしまったのじゃ。
わしは ここで かくれてのう
ずっと見ておったのじゃ。"
