"e621","<CH1>
王子。
アクダムは すぐそこです !!","<CH1>
Achdam is right here, your
Highness!"
"e646","<LEADERe652,e684,e69e,e6c5,e652>","<LEADERe652,e684,e69e,e6c5,e652>"
"e652","はっ !? 急がなければ。
アクダムが 逃げてしまう !!<RET_IL>","Wait... if I don't hurry, Achdam'sgoing to get away!<RET_IL>"
"e684","アクダム !! 逃がさんぞ !!<RET_IL>","Achdam!! I won't let you escape!<RET_IL>"
"e69e","ハッ !?
アクダムを追いかけるんだった。<RET_IL>","Oh! I was going to follow Achdam.<RET_IL>"
"e6c5","おれは 何をやってるんだ !!
早くアクダムを追いかけねば !!<RET_IL>","What'm I doin'?! I'd better get
after Achdam.<RET_IL>"
"e6fe","<X1e>フェリシア<X04>
ああ、セリオス。
あなたと 再び会うことが
出来るなんて ･ ･ ･

立派な 若者に なったわね。
これも ライアスや エルアスタの
町の人々の おかげね。

犠牲になった 彼らのためにも
あなたには 早く 王位を 継いで
もらわなければ ･ ･

<CH0>
いや、母さん。ぼくは、アクダムの
後を 追いかけようと 思うんだ。

このまま かたきを討たずに 王位を
継いでは 犠牲になった 父さんや
ライアスたちが うかばれないよ。

だから アクダムを 倒すまでは
王位を 継ぐつもりはないよ。

<X1e>フェリシア<X04>
そんな ･ ･ ･
なにも あなたが ･ ･ ･

<CH0>
いや、アクダムだけは ぼくたちの
手で 倒したいんだ。誰かに
任せるなんてことは 出来ないよ。

<X1e>フェリシア<X04>
セリオス ･ ･ ･

わかりました。
あなたが それほどまで 言うのなら
自分の 納得がいくようになさい。","<X1e>Felicia<X04>
Oh, Selios. Just being able 
to see you again...

You've become a fine young man.
All thanks to Lyas and the people
of Eluasta.

We should see you enthroned as
soon as possible. It's what they
gave their lives for.

<CH0>
I can't, Mother. I intend to
go after Achdam.

How can my father, or Lyas, or
any of them rest peacefully if
I take the throne without avengingthem?

So I'm not going to take the
throne until I've dealt with
Achdam.

<X1e>Felicia<X04>
That's... nothing you need to...

<CH0>
Yes, it is. I want us to be the
ones who take him down. I can't
leave that to anyone else.

<X1e>Felicia<X04>
Selios...

Very well. If you insist on this,
then do as you think best."
"e9b9","<X1e>フェリシア<X04>
つらく 長い旅に なるでしょうが
くれぐれも 体には 気をつけて。

ご一緒の方々 ･ ･ ･
どうか セリオスのことを
よろしく お願いします。","<X1e>Felicia<X04>
I expect it will be a long and
grueling journey. Please, take
care of yourself.

The rest of you... please look
after Selios."
"ea47","<X1e>フェリシア<X04>
セリオス。お待ちなさい !
あなたに 渡したいものがあります。","<X1e>Felicia<X04>
Wait a moment, Selios! There's
something I want you to have."
"ea8f","<X1e>フェリシア<X04>
セリオス。
あなたに ペンダントを 渡したいの。

<RET_IL>","<X1e>Felicia<X04>
Selios. I want you to have
this pendant.

<RET_IL>"
"eacb","でも、あなたは いろいろな物を
持っているみたいだから
やめたほうが いいかしら？","But you seem to be carrying quite
a lot. Maybe you should reconsiderthat?"
