"e414","<X1e>門番<X04>
しっ 司令官さま !!"
"e42e","<X1e>入口の兵士<X04>
なんだ お前たちは？
さっさと 向こうへ行け !!

<LEADERe49d,e4ba,e4dd,e49d,e49d>

<X1e>入口の兵士<X04>
な、なんだと !?

<LEADERe4fc,e525,e562,e4fc,e4fc>"
"e49d","お前たちの 司令官は 倒した。<RET_IL>"
"e4ba","あなたたちの 司令官は 倒しました。<RET_IL>"
"e4dd","おめえらの 司令官を 倒したぜ。<RET_IL>"
"e4fc","命が 惜しければ、
さっさと 道を開けろ !!<RET_IL>"
"e525","無用な 殺生は したくありません。
どこへなりと お逃げなさい。<RET_IL>"
"e562","そこを どかねえと
おめえらも 司令官みてえに
しちまうぞ !<RET_IL>"
"e59b","<CH0>
おーい 司令官を 倒したぞー !
早く 出てこーい。

みんな、クルスの村が 安全だ
クルスに 向かってくれ !!"
"e602","<X1e>囚人<X04>
なあ、おれたちを 助けてくれたのは
あんたたちか？

<CH0>
ああ、みんなで 力を合わせ この国をアクダムの手から 取り戻すんだ。

<X1e>囚人<X04>
あんたは いったい何者だ？
<PAGE>
<CH2>
なんだお前、このお方を
知らねえのか？ このお方こそ
この国の王子 セリオスさまだぞ !!

<X1e>囚人<X04>
へぇ〜
この国の 王子さまだったのか。

おれは <CH3>っていうんだが
あんたたちと 一緒に アクダムの
野郎に 仕返しを させてくれねえか？

<CH1>
ゲイルだって？
あの 世界をまたにかける
大盗賊の ゲイルか !!

<CH3>
なっ、何を言ってるんだ？
人違いも いいところだ。

ゲイルなんて 名前 そこらへんに
たくさん ころがってるぜ。

<CH2>
王子、こんな わけの わからない
野郎なんか ほっといて 早く行こうぜ。

<CH3>
なんだ、てめぇは？
おれは王子さまと 話してるんだ。
横から 口を はさむな !!

なあ、王子さま どうだい
おれも 連れていって くれないか？
何かと 役に 立つと思うぜ。

<CH2>
どんなふうに 役に立つんだよ？
どうせ たいしたこちゃ ねぇんだろ。

<CH3>
うるせぇな !
てめぇに そんなことを 言われる
すじあいはねぇ !!

<CH0>
そんなに 言うのなら
かまわないけど ･ ･
ローと 仲よく やってくれよ。

<CH3>
はいはい。
ローさん よろしくな。


<CH3><X1c>が 仲間になりました。<X0c0301><X04>"
"ea21","<CH3>
おいおい
もう鉱山なんか こりごりだぜ。"
"ea4b","<X1e>神父<X04>
<IF0046><JUMPeb08><SET0046>まさか 王子さまが この町へ
おこしに なっていたとは
思いもよりませんでした。

よく あの司令官を 倒すことが
できたものですな。
さすがは この国の王に なられる方でございますね。<END>
<LOCeb08>何か お困りのことが
ございましたら なんなりと
私に 話してくださいませ。"
"eb50","<X1e>ピート<X04>
実は、けがを したというのは 仕事をサボるための うそだったんだ。
だましたりして 悪かった。"
"ebb3","<X1e>囚人<X04>
クルスに 向かえば いいんですね？"
"ebdb","<X1e>男<X04>
<IF0045><JUMPeccf><SET0045>いや〜、見ましたよ 見ましたよ
司令官を 倒すところを !!

あの司令官にはねー ひどいこと
ばっかり されたんですよねー
聞いてくださいよー

初めて あいつが 来た時には ･ ･<WAIT>
囚人を こき使っては ･ ･ ･<WAIT>
しかも 酒ぐせが悪く ･ ･ ･<WAIT>
そのうえ ･ ･ ･

<LOCeccf>あんたねー
人の話 ちゃんと 聞いてる？"
