"e1ed","<X1e>賢者<X04>
わしは この国の人々に
呪文を授けるのが 役目じゃ。<X0d>","<X1e>Sage<X04>
It is my duty to teach spells
to the people of this kingdom.<X0d>"
"e226","<X08>どの 呪文が 欲しいのじゃな？<RETN>","<X08>Which spell do you wish?<RETN>"
"e244","誰の 呪文の書に 書き込むのじゃな？<RET_IL>","Into whose spellbook shall I
scribe it?<RETN>"
"e267","どこに 書き込むのじゃな？<RETN>","Where shall I scribe it?<RETN>"
"e281","どれどれ、書き込むとしようか。<X0a>","Do you wish me to scribe anything
more?<X0a>"
"e2b6","また、必要になったら
いつでも 来るがよい。","Should you have any further needs,you may always come to me."
"e377","<X1e>やみの商人<X04>
へっへっへ、いらっしゃい。
今日は こんな物が ありますぜ。

<RET_IL>","<X1e>Shady merchant<X04>
Heh heh heh... welcome!
Here's what I have today.

<RET_IL>"
"e3bf","<X1e>やみの商人<X04>
おや、また来たのかい。<RETN>","<X1e>Shady merchant<X04>
Back again, are you?<RETN>"
"e3eb","おっと、これ以上持てないようだぜ。<JUMPe509><LOCe410>何が欲しいんですかい？
<RETN>","Ah, but you can't carry any more!
<JUMPe509><LOCe410>See anything you like?
<RETN>"
"e428","<X0e>ですかい。
<PAGE>
おっといけねぇ。
そいつは、さっき売れちまったぜ。

どんな奴が 買っていったかって？
確か、黒いマントをきた男だったな。マントが青白く光っていて、
どことなく うさんくさい 奴だった。","Ah, the <X0e>?
<PAGE>
I'm afraid I sold that just a
moment ago.

Who bought it? That man in the
black cloak, I suppose. His cloak
glowed with a pale blue light.
Quite a suspicious person."
"e4e7","わりーな、今日は何もないんだ。
<JUMPe509><LOCe509>また、来てくれよな。","Ah, I'm afraid I haven't got
anything today!
<JUMPe509><LOCe509>Do come again!"
"e536","<X1e>武器屋<X04>
これは セリオス王子 ロンドへの
航路が復活したので 武器は ロンドで買ったほうがいいですよ。

<RET_IL>","<X1e>Weapon merchant<X04>
Your Highness! With the shipping
lanes to Rondo restored, it might
be best to arm yourself there.

<RET_IL>"
"e59a","また来てくださいね。","Come again!"
"e5da","<X1e>道具屋<X04>
いらっしゃいませ 王子さま。
ここは道具の店ですが
どんな ご用ですか？<RETN>","<X1e>Tool merchant<X04>
Welcome! This is a tool shop.
What would you like?<RETN>"
"e628","また来てくださいね。","Come again!"
"e648","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e66c","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e686","<X0e>ですね。
ありがとう ございます。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e6b1","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e6cc"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e6f8","それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e711","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e7ce","<X1e>女<X04>
<IF0052><JUMPe873><SET0052>これは これは セリオス王子さま !
ようこそ ネリアの港町へ。

王子さまの おかげで この町も
もとの 平和な 港町に戻りましたわ。本当にありがとうございます。

<LOCe873>王子さま、先ほどから
船長が 桟橋で 王子さまのことを
お待ちして おりましたよ。","<X1e>Woman<X04>
<X125200><JUMPe873><X145200>Prince Selios!!
Welcome to Neria Harbor!

Because of your Highness, this
is a peaceful port town again.
Thank you so much!

<LOCe873>Your Highness, the ship captain
has been waiting for you at the
dock."
"e8c1","<X1e>男<X04>
<IF0051><JUMPe917>王子さま
町の はずれに なかなか いい物を
売っている人が いるのですが ･ ･ ･<END>
<LOCe917>町のはずれにいる やみ屋は どうも
うさんくさいんですよ。

いつも すごい道具を 持っていると
言うのですが 高くて 買えないんです。

しかも、お金を貯めて 買いに行くと
「今日は 何もない」と言って
売ってくれないそうです。","<X1e>Man<X04>
<X125100><JUMPe917>There's someone selling really
good items on the outskirts of
town.
<END>
<LOCe917>I don't trust that shady merchant
outside town at all.

He always has says he has amazing
goods, but they're too expensive
to buy.

But when I save my money, he just
says ""I haven't got anything"" and
won't sell me anything."
"e9ec","<X1e>船長<X04>
おお、お待ちしておりましたぞ。
セリオス王子さま。

もう 出航の準備は できております。さっそく ロンドへ 向かいましょう。","<X1e>Captain<X04>
Thank you for waiting, 
Prince Selios.

We're prepared for departure, so
we'll sail for Rondo immediately."
"ea6a","<X1e>宿の主人<X04>
<IF0409><JUMPeab4><IF0408><JUMPeab4>これは王子さま。
お元気そうで 何よりでございます。<END>
<LOCeab4><SET0401>おや、王子さま。
今晩も お泊まりですか？
ごゆっくり お休みください。","<X1e>Innkeeper<X04>
<X120904><JUMPeab4><X120804><JUMPeab4>Welcome, your Highness!
I am happy to see that you are
well.
<END>
<LOCeab4><X140104>Welcome, your Highness!
Will you be staying tonight?
Please enjoy your stay."
