e200,"<X1e>武器屋<X04>
いらっしゃいませ。
鉄のやりはいかがですか。

<RET_IL>"
e236,また来てくださいね。
e275,"<X1e>道具屋<X04>
いらっしゃいませ。
洞窟に行くなら たいまつとワプの羽、この辺の人は みんな持ってますよ。<RETN>"
e2d6,また来てくださいね。
e2f7,"おや？これ以上持てないようですね。

<RET_IL>"
e31b,"どれを買ってくれますか？
<RETN>"
e335,"<X0e>だね。
どうも ありがとう。

<RET_IL>"
e35a,"どれを 売ってくれますか？
<RETN>"
e375," Gold になるけど
それでも よろしいですか？
<RETN>"
e3a1,"それは残念です ･･･ ･･･。

<RETN>"
e3bb,"どうも ありがとうございます。
<RETN>"
e46f,"<X1e>男<X04>
<IF006f><JUMPe5a5><IF0062><JUMPe509><SET0062>ファーレーンで 何かあったのかい？

この前も ファーレーンから
何人かの兵士が 来たんだが
なんだか 慌ただしく 南の方に
行ってしまったよ。<END>
<LOCe509>この町の南には、ラルファの砦と
マスクーンの町が あるんだが

ファーレーンから来た 兵士たちは
いったい どこに 行ったんだろう。
あんたたちは どこに行くんだい？<END>
<LOCe5a5>洞窟のモンスターを 倒したって？
それは 本当か？ もう モンスターに
襲われる心配は ないんだな。"
e603,"<X1e>老人<X04>
この前、ファーレーンから
来た人たちは いろいろな物を
買い込んでおったな。

いったい、どこに
行ったのじゃろうか？
町の外は モンスターだらけで
危険じゃと 言ったのに。"
e6ae,"<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。"
e6e6,"<IF006f><JUMPe878><IF0063><JUMPe837><SET0063><CH0>
何を 泣いているんだい？

<X1e>子供<X04>
 ･ ･ ･ ぼく、モンスターに
食べられちゃうんだ。

<X1e>男<X04>
この子は いけにえに なるんです。
この町の 西にある洞窟に すみついたモンスターの 言いつけなのです。

この町が 平和でいられるのは
町の子供を いけにえに 差し出して
いるからなのです。

近いうち その洞窟に この子を
連れていかねば なりません。<END>
<LOCe837><X1e>男<X04>
ああ、この子を いけにえに
差し出さなければ ならないとは ･ ･<END>
<LOCe878><X1e>男<X04>
<IF0064><JUMPea0d><SET0064><IF_NOT0408><JUMPe8bf>おお、どうしたのですか？
そんなに けがをなさって？

<LOCe8bf>えっ、もう子供を 差し出す
必要は ない !?
あいつらを 倒した !?

それは 本当ですか？
これでもう 子供を いけにえに
出さなくても いいんですね。

おお、なんと ありがたいことか。
お前からも お礼を 言いなさい。

<X1e>子供<X04>
ありがとう、お兄ちゃん !

<X1e>男<X04>
本当に ありがとうございました。
さぞ お疲れでしょう。私の家で
ごゆっくりと お休みください。<SET0401><END>
<LOCea0d><IF0408><JUMPeaa8><IF0409><JUMPeaa8>子供を 助けていただいて 本当に
ありがとうございました。
<PAGE>
うちの子は あなたがたが 来ると
とても 喜ぶんですよ。
また いつでも おたずねください。<END>
<LOCeaa8>これは これは ようこそ
おいでくださいました。

ずいぶんと お疲れのようですね。
狭い家では ございますが、
ゆっくり お休みくださいませ。<SET0401>"
eb31,"<IF0064><JUMPeb71><IF_NOT0063><JUMPe6e6><X1e>子供<X04>
お父ちゃん。ぼく いけにえなんて
やだよぉ ･ ･<END>
<LOCeb71><X1e>子供<X04>
お兄ちゃん また来てね。"
eb90,"<CH0>
ああっ、まただ !!
また <IF_NOT0400><JUMPebb7>盗ま<JUMPebbd><LOCebb7>荒らさ<LOCebbd>れている。

<CH3>
また ･ ･ ？
前にも そんなことが あったのか？

<CH1>
ああ、ネリアの港でな。

<CH2>
やい、ゲイル !!
てめぇが やったんだろ !!

<CH3>
な、なんだと !!
なんの 証拠があって そんなこと
言うんだ !!

<CH2>
証拠だと !! そんなものは 必要ねぇ
この中で 素性の わからねえ奴は
おめぇしか いねぇじゃねぇか。

だいたい おめぇは 何者なんだ !!
どこの国から 来やがった !!
ひょっとして アクダムの
回し者じゃねぇのか !!

<CH0>
やめろよ、ロー !!
言いすぎだぞ !!

<CH2>
王子、こんな奴と一緒に旅をするのはやめたほうが いいんじゃねぇか。

<CH3>
そこまで言われちゃ 一緒に旅は
できねぇな !!
おれさまのほうから 出てってやらぁ!

<CH0>
ゲイル、待ってくれ !!
<PAGE>
<CH3>
 ･ ･ 王子さま。ここで お別れだ。
あばよ !!

<CH0>
おっ、おい ゲイル !!"
