e1c3,"<X1e>武器屋<X04>
いらっしゃいませ。
鉄のやりはいかがですか。

<RET_IL>"
e1f9,また来てくださいね。
e238,"<X1e>道具屋<X04>
いらっしゃいませ。
洞窟に行くなら たいまつとワプの羽、この辺の人は みんな持ってますよ。<RETN>"
e299,また来てくださいね。
e2ba,"おや？これ以上持てないようですね。

<RET_IL>"
e2de,"どれを買ってくれますか？
<RETN>"
e2f8,"<X0e>だね。
どうも ありがとう。

<RET_IL>"
e31d,"どれを 売ってくれますか？
<RETN>"
e338," Gold になるけど
それでも よろしいですか？
<RETN>"
e364,"それは残念です ･･･ ･･･。

<RETN>"
e37e,"どうも ありがとうございます。
<RETN>"
e474,"<CH3>
王子、止めても 無駄だぜ。
あばよ !"
e49a,"<X1e>男<X04>
<IF006f><JUMPe5d0><IF0062><JUMPe534><SET0062>ファーレーンで 何かあったのかい？

この前も ファーレーンから
何人かの兵士が 来たんだが
なんだか 慌ただしく 南の方に
行ってしまったよ。<END>
<LOCe534>この町の南には、ラルファの砦と
マスクーンの町が あるんだが

ファーレーンから来た 兵士たちは
いったい どこに 行ったんだろう。
あんたたちは どこに行くんだい？<END>
<LOCe5d0>洞窟のモンスターを 倒したって？
それは 本当か？ もう モンスターに
襲われる心配は ないんだな。"
e62e,"<X1e>老人<X04>
この前、ファーレーンから
来た人たちは いろいろな物を
買い込んでおったな。

いったい、どこに
行ったのじゃろうか？
町の外は モンスターだらけで
危険じゃと 言ったのに。"
e6d9,"<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。"
e711,"<X1e>男<X04>
<IF0408><JUMPe7b1><IF0409><JUMPe7b1>子供を 助けていただいて 本当に
ありがとうございました。
<PAGE>
うちの子は あなたがたが 来ると
とても 喜ぶんですよ。
また いつでも おたずねください。<END>
<LOCe7b1>これは これは ようこそ
おいでくださいました。

ずいぶんと お疲れのようですね。
狭い家では ございますが、
ゆっくり お休みくださいませ。<SET0401>"
e83a,"<X1e>子供<X04>
<IF0402><JUMPe86b>あっ、お兄ちゃんだ !
いらっしゃい。<END>
<LOCe86b>お兄ちゃん また来てね。"
