e189,"<X1e>武器屋<X04>
いらっしゃいませ。
ここは武器と防具の店ですが<RETN>"
e1c0,また来てくださいね。
e1ff,"<X1e>道具屋<X04>
いらっしゃいませ。
洞窟に行くなら たいまつとワプの羽、この辺の人は みんな持ってますよ。<RETN>"
e260,また来てくださいね。
e281,"おや？これ以上持てないようですね。

<RET_IL>"
e2a5,"どれを買ってくれますか？
<RETN>"
e2bf,"<X0e>だね。
どうも ありがとう。

<RET_IL>"
e2e4,"どれを 売ってくれますか？
<RETN>"
e2ff," Gold になるけど
それでも よろしいですか？
<RETN>"
e32b,"それは残念です･･･ ･･･。

<RETN>"
e344,"どうも ありがとうございます。
<RETN>"
e3f0,"<X1e>男<X04>
あんたたち 聞いたかい。
<PAGE>
なんでも ファーレーンの 王子さまがこの国から 怪物たちを 追い出して
くださったそうだ。

そういえば あんたたちも
ファーレーンの人だったな。
よい王子さまに 恵まれて 本当に
良かったな。

もし、王子さまに 会われたら、
ウォンリークの国民は みんな
王子さまに感謝していたと
伝えてくれよな。"
e527,"<X1e>老人<X04>
ファーレーンの セリオス王子さまは
お父上のかたきを 追っておられる
そうじゃ。

なんでもアクダムとかいう男らしいぞあんたらも その男を見かけたら
すぐに、ファーレーンに
連絡するのじゃぞ。"
e5e5,"<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。"
e61d,"<X1e>男<X04>
<IF0408><JUMPe6bd><IF0409><JUMPe6bd>子供を 助けていただいて 本当に
ありがとうございました。
<PAGE>
うちの子は あなたがたが 来ると
とても 喜ぶんですよ。
また いつでも おたずねください。<END>
<LOCe6bd>これは これは ようこそ
おいでくださいました。

ずいぶんと お疲れのようですね。
狭い家では ございますが、
ゆっくり お休みくださいませ。<SET0401>"
e746,"<X1e>子供<X04>
<IF0402><JUMPe777>あっ、お兄ちゃんだ !
いらっしゃい。<END>
<LOCe777>お兄ちゃん また来てね。"
