"e104","<X08>どの 呪文が 欲しいのじゃな？<RETN>","<X08>Which spell do you wish?<RETN>"
"e122","誰の 呪文の書に 書き込むのじゃな？<RET_IL>","Into whose spellbook shall I
scribe it?<RETN>"
"e145","どこに 書き込むのじゃな？<RETN>","Where shall I scribe it?<RETN>"
"e15f","どれどれ、書き込むとしようか。<X0a>","Do you wish me to scribe anything
more?<X0a>"
"e194","また、必要になったら
いつでも 来るがよい。","Should you have any further needs,you may always come to me."
"e55b","ハッハッハ、作戦どうりじゃ。<X0a>","Ha! Exactly as planned!<X0a>"
"e5d6","おぬし、なかなか 間抜けじゃのう。
この角は いたたぐぞ。<X0a>","You aren't too bright, are you?
I'll take this corner!<X0a>"
"e60e","おっと、この角は取っておかないと
取られてしまうな。<X0a>","Oh, I'd better take this corner
before you do!<X0a>"
"e642","おっと、そう簡単に角は渡さんぞ。<X0a>","No easy corners for you!<X0a>"
"e6b0","ゲゲッ、まずいぞ !!
この角は取っておかないと
取れなくされてしまうな。<X0a>","Ugh! I'll never get this corner
if I don't take it now!<X0a>"
"e72a","おっと、そんな所に打って、
このわしが 見落とすとでも
思っているのかな。<X0a>","Did you really think I wouldn't
see that one coming?<X0a>"
"e7ae","ヒヒヒ、これが わかるかな。<X0a>","Heh, okay...<X0a>"
"e7fd","おっと、なかなか おいしい
ところが あるじゃないか。<X0a>","Aha! That's a pretty nice spot,
ain't it?<X0a>"
"e85a","フッフフ
ここでは どうかな？<X0a>","Heh heh... how about this?<X0a>"
"e88c","フーム、これは難しいのう。
とりあえず このへんにでも
打っておくかのう。<X0a>","Hmm, this is a tough one.
How about if I just go here?<X0a>"
"e8de","ウムムムム、
なかなか やるではないか。<X0a>","Hmmm... Not too bad.<X0a>"
"e91d","ウムム、こんな所にしか
打てないとは なさけない。<X0a>","Hmm. Well, I'm stuck going here.<X0a>"
