"e173","<X08>どの 呪文が 欲しいのじゃな？<RETN>"
"e191","誰の 呪文の書に 書き込むのじゃな？<RET_IL>"
"e1b4","どこに 書き込むのじゃな？<RETN>"
"e1ce","どれどれ、書き込むとしようか。<X0a>"
"e203","また、必要になったら
いつでも 来るがよい。"
"e2e8","<CALLe4b2>わしは 戦いの呪文を いくつか
知っておる。その呪文を 皆に
伝えるのが わしの務めなのじゃ。

つい この間までは ゲームの相手を
しなければ 呪文を教えて
やらなかったのじゃ。

じゃが それがジェストンさまに
バレてしまってな、賢者に
あるまじき行為じゃと
怒られてしまってのう ･ ･ ･

<CALLe4c3>いつまでも 話してないで 早く
教えてあげなさいよ おじいさん。

<CALLe4b2>仕方がない、
呪文を 教えてしんぜよう。<X0d>"
"e463","<CALLe4c3>おやおや 珍しい。
こんな人里離れた いおりに
お客さんが お見えになるなんて。"
"e4b2","<X1e>頑固そうな老人<X04><RETN>"
"e4c3","<X1e>やさしそうな おばあさん<X04><RETN>"
"e4dd","<X1e>オレア<X04>
これは、これは。
こんな 寂しい所に よく まいられた。

わしは いくつかの呪文を 知っておるその呪文を 皆に伝えるのが
わしの務めじゃ。

<RET_IL>"
"e569","<X1e>老人<X04>
あんな 親不孝者の息子など
のたれ死んでしまえば いいのじゃ。"
"e5ac","<X1e>おばあさん<X04>
まあ 皆さん おそろいで
よく おこしに なられました。

ポムは また 冒険に出てしまったの
ですよ。
まったく あの子ったら じっと
してられないのですから ･ ･ ･。"
"e653","<X1e>ロエル<X04>
お前たち、何事も あきらめては
ならんぞ。

あきらめずに 努力を重ねておれば
必ず 道は開けるものじゃ。"
"e6bf","<X1e>バーバラ<X04>
<IF0408><JUMPe6d6><IF_NOT0409><JUMPe73f><LOCe6d6>おや、ずいぶん疲れておるようじゃなこのばばに まかせなされ。

<X1c>バーバラはレス５の呪文を唱えました。<X0c0901><X04>

<ASM70c5><LOCe73f>エリオンさま、早く 王位に
おつきになり 国民を 安心させて
くださいませ。"
"e787","<CH3>
おい、なんか 変なもんが あるぞ。

<CH2>
キャ !! 気持ち悪い !!

<X1c><CH3>は <RET_IL>"
"e7cb","<X0e>を
見つけました。<RETN>"
"e7de","<X1f><RET_IL>"
