"e0e1","<X08>誰の呪文の書にサイレスの呪文を
書き込みますか？<RETN>","<X08>In whose spellbook will Sylis
be scribed?<RETN>"
"e112","どこに 書き込みますか？<RETN>","Where should it be scribed?<RETN>"
"e12a","<X02>の呪文の書に
サイレスの呪文を書き込みました。","Sylis has been scribed into
<X02>'s spellbook."
"e27d","<IF009c><JUMPe2fa><X1c>石碑があります。何やら 文字が
刻まれていますが 中央部は 鋭い
刃物のような物で えぐられていて
読むことが出来ません。<X04>

<RET_IL><LOCe2fa><X1c><IF009d><JUMPe34d><SET009d>石碑に かけらを はめてみました。<X0c1001><PAGE>
サイレスの呪文が 完成しました。<X0c0301><PAGE>
<X04><RET_IL><LOCe34d>石碑には サイレスの呪文が
刻まれています。

<X04><RET_IL>","<IF009c><JUMPe2fa><X1c>There is some kind of writing
carved into the tablet, but the
middle of it has been gouged out
with a knife. It's unreadable.<X04>

<RET_IL><LOCe2fa><X1c><IF009d><JUMPe34d><SET009d>You try to fit the piece of
broken stone into the tablet.<X0c1001><PAGE>
The spell of Sylis is complete.<X0c0301><PAGE>
<X04><RET_IL><LOCe34d>The spell of Sylis is carved
into the monument.

<X04><RET_IL>"
"e37a","<IF00c2><JUMPe599><SET00c2><LEADERe62e,e671,e62e,e62e,e62e>

<X1e>ポム<X04>
やあ、あんたたちか。
それは こっちが 聞きたいくらいだよ

ラルファの道具屋が 合いカギを
作ってくれるって言うから
型を 取りに来たんだ。
そしたら、このありさまさ。

ほら、そこの石碑を よく見てみな。
ここに例の サイレスの呪文が
かいてあったように 見えないか？

でも、これじゃ かんじんの所が
えぐられていて 読めないよな。
きっと だれかが 消しちまったに
違いないよ。
<PAGE>
<LEADERe6b2,e6bb,e6b2,e6b2,e6b2>これは きっと ローの仕業に違いないな。

<X1e>ポム<X04>
ロー ？
ああ、あの性格の悪そうな奴だろ。

そういえば、
あいつは どこに行ったんだい。

<LEADERe6c4,e745,e6c4,e6c4,e6c4><SET0400><END>
<LOCe599><X1e>ポム<X04>
<IF009d><JUMPe5de>おれは なんのために 今まで旅を
してきたんだろう ･ ･ ･。<END>
<LOCe5de>ありがとう、
おれの 長い旅も これで終わりだ。
さーて 次は何を探しに行こうかな。","<IF00c2><JUMPe599><SET00c2><LEADERe62e,e671,e62e,e62e,e62e>

<X1e>Pomm<X04>
Oh, you guys are here too?
I'd like to know that as well.

I heard the tool shop in Larfa
was making duplicate keys, so I
came here to take a template. It
was like this when I got here.

Look there, on the tablet. Doesn'tit look like that spell, Sylis,
is written there?

But the key part has been gouged
out, and it's unreadable. So
someone must have erased it.
<PAGE>
<LEADERe6b2,e6bb,e6b2,e6b2,e6b2>

<X1e>Pomm<X04>
Ro? Oh, that unpleasant guy?

Now that you mention it, where
is he?

<LEADERe6c4,e745,e6c4,e6c4,e6c4><SET0400><END>
<LOCe599><X1e>Pomm<X04>
<IF009d><JUMPe5de>Have I been traveling for nothing
all this time...?<END>
<LOCe5de>Thank you. My long journey is
finally over. Now, what should
I search for next?"
"e62e","あれ、君は ポム君じゃないか。
これは いったい どういうことなんだ。<RET_IL>","Hey... Pomm? Is that you?
What happened up here?<RET_IL>"
"e671","あなたは ポムさんでしたね。
これは いったい どうしたことですか。<RET_IL>","You're Pomm, right?
What happened here?<RET_IL>"
"e6b2","うーん。<RET_IL>","Yeah. Must've been Ro's work.<RET_IL>"
"e6bb","うーむ。<RET_IL>","Indeed. This must have been
Ro's work.<RET_IL>"
"e6c4","それを 今 探しているんだ。

クソー、サイレスの呪文さえ あれば
アクダムを倒せると 思ったのに !!
この先 どうすれば いいんだ ･ ･ ･。<RET_IL>","We're here looking for him.

Damn it!! If we'd just gotten
that Sylis spell, I know we could
have taken on Achdam! What are we
going to do now...?<RET_IL>"
"e745","それを 今 探しているんです。

ウムム、無念、
サイレスの呪文さえ あれば
アクダムを倒せると 思っていたのに。この先 どうすれば いいやら ･ ･ ･。<RET_IL>","We came here looking for him.

This is unfortunate. I think
we could have defeated Achdam if
we had the Sylis spell.
Well, then. What now?<RET_IL>"
