"e16c","<X1e>武器屋<X04>
いらっしゃい。はがねのやりは
いりませんか？ この辺では けっこう評判がいいんですよ。

<RET_IL>","<X1e>Weapon merchant<X04>
Welcome! Do you need any
steel spears? They're quite
popular around here.

<RET_IL>"
"e1ca","また来てくださいね。","Come again!"
"e1ee","<X1e>道具屋<X04>
いらっしゃい たいまつと ワプの羽はいかがですか？<RETN>","<X1e>Tool merchant<X04>
Welcome! Looking for torches and
warp feathers?<RETN>"
"e230","<X1e>道具屋<X04>
いらっしゃいませ。
あらわしの鈴は いかがでしょうか？

こいつは まとめて使えば その分
効果が長続きしますから、
この辺の人は １年分 まとめ買い
しているんです。

最低でも１０個は使っておいたほうがいいと思いますよ。

でも こいつは習慣性が ありますから気をつけてください。
一度 使ったら やめられなく
なってしまいますよ。<RETN>","<X1e>Tool merchant<X04>
Welcome!
Do you need any Reveal Chimes?

If you use several of them at
once, the effects last longer. So
people around here like to buy
a whole year's worth at once.

At minimum, I think I'd recommend
that you use at least 10 of them.

But be careful; they can be
addictive. You might not be able
to stop using them once you start!<RETN>"
"e394","また来てくださいね。","Come again!"
"e3b1","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e3d5","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e3ef","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e414","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e42f"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e45b","それは残念です ･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e475","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e5a2","<X1e>フォルス<X04>
<IF0089><JUMPe70a><SET0089>ローさんは、傷が いえるまで 私が
責任をもって お預かりいたします。

<CH0>
お願いします、町長さん。
 ･ ･ それにしても、アクダムめ
ひどいことをする。

<CH1>
奴は いったい どこに
逃げたんでしょうね？

<CH3>
王子、たぶん アクダムは リーゼルに逃げたんじゃねえかな。

<X1e>フォルス<X04>
あの ･ ･ ･
もし リーゼルに 行かれるのでしたらひとつ お願いが あるのですが ･ ･ ･

<LOCe70a>私の弟 エリックが リーゼルの町に
おるのですが、町が占領されてから
まったく おとさたが ないのです。

弟が 無事でいるかどうか 調べてきてほしいのです。お願いいたします。

<IF0408><JUMPe7bc><IF_NOT0409><JUMPe819><LOCe7bc><LEADERe874,e8a1,e874,e8dd,e874>

<X1e>フォルス<X04>
これは これは、気がつきませんで
どうぞ ごゆっくり お休みください。<SET0401><END>
<LOCe819>ベッドの用意を しておきますので
もし、お疲れになられましたら
いつでも おこしください。
<CLEAR0401>","<X1e>Foless<X04>
<IF0089><JUMPe70a><SET0089>I'll take care of Roh here until
his wounds heal.

<CH0>
Thank you, Mayor Foless.
...That was a horrible thing to
do, even for Achdam.

<CH1>
Where do you suppose Achdam
could have fled?

<CH3>
You think maybe he ran off to
Riezel, Prince?

<X1e>Foless<X04>
Oh, by the way...
If you do go to Riezel, there is
something I'd like to ask.

<LOCe70a>My brother Erich lives in Riezel,
and I haven't heard anything from
him since the occupation there
began.

If you could, I'd like for you to
check if my brother is safe.

<IF0408><JUMPe7bc><IF_NOT0409><JUMPe819><LOCe7bc><LEADERe874,e8a1,e874,e8dd,e874>

<X1e>Foless<X04>
Oh, of course, of course! I wasn'tthinking. Please, rest well.<SET0401><END>
<LOCe819>I have beds ready here, so please
come whenever you grow tired.
<CLEAR0401>"
"e874","町長さん、
ちょっと 休ませてもらえませんか？<RET_IL>","Is there any chance we could rest
here for a while first?<RET_IL>"
"e8a1","町長殿 まことに申し訳ないが、
少し 休ませてもらえませんか？<RET_IL>","Forgive me, Mayor Foless, but
would it be possible for us to
rest a while first?<RET_IL>"
"e8dd","町長さんよ、
少し 休ませてもらいたいんだがな<RET_IL>","Could we rest for a bit, though?<RET_IL>"
"e90a","<X1e>老人<X04>
この町の すぐ そばにある 白くて
大きなものを 見なさったか？

あれは 竜の卵と 呼ばれるもので
中に 神さまが お使いになられた
魔法の品が 入っておるそうな。","<X1e>Old man<X04>
Did you happen to see that big
white thing just outside of town?

It's called a Dragonsegg. It's
supposed to be a vessel for relicsused by the gods."
"e9a9","<X1e>老人<X04>
ここから北の リーゼルの東に
試練の洞窟と 呼ばれる
場所があります。

試練の洞窟には 強い武器や防具が
保管されているのですが、
眼力魔という怪物が すみついて
しまい 誰も近づくことが出来ません。

あの武器や防具があれば リーゼルの
周りの怪物も怖くはないのですが ･ ･","<X1e>Old man<X04>
If you go north to Riezel and theneast, there's a place called the
Cave of Trials.

Powerful weapons and armor are
stored in there, but some monsterscalled Gazers have moved in and
no one can get near it.

If only we had that equipment,
we wouldn't need to be frightened
of monsters... not even the ones
around Riezel."
"eab3","<X1e>女<X04>
この国の君主 ジェストンさまの妹君
フェリシアさまは ファーレーンに
嫁いでいかれたの。

ファーレーンは モンスターから
解放されたと 聞いたけれど、いかが
おすごしなのかしらね？","<X1e>Woman<X04>
Duke Jestonn's sister Felicia
married into the royal family
of Farleyn.

I wonder how she's doing, now
that Farleyn has been liberated
from monsters."
"eb64","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。","<X1e>Priest<X04>
Please speak with me whenever
you are troubled."
"eb9c","<X1e>ロー<X04>
冗談じゃねえよ。
いくら さそっても あんたたちには
ついていかねえからな。<IF008e><JUMPebf2><END>
<LOCebf2>

ところで セリオス。
<ASMec7a><IF008e><JUMPec4c>もうこんな物いらねえから あげるぜ。

<X0e><X1c>を もらいました。<X0c0301><X04><END>
<LOCec4c>いい物を あげるから 持ち物を
減らしてこいよ。","<X1e>Roh<X04>
I'm not playing around!
I can't come with you, no mattter
how much you beg.<IF008e><JUMPebf2><END>
<LOCebf2>

Hey, Highness...
<ASMec7a><IF008e><JUMPec4c>I don't need stuff like this
anymore, so I'll let you have
it, 'kay?

<X0e>Received <X1c>.<X0c0301><X04><END>
<LOCec4c>I've got something to give you,
so get rid of some of your junk,
all right?"
