"e128","どなたの呪文の書にフラムの呪文を
書き込みましょう？<RETN>","<X08>Shall I scribe the Flam spell for
you?<RETN>"
"e15c","どこに 書き込みましょう？<RETN>","Into whose spellbook shall I
scribe it?<RETN>"
"e176","それでは 書き込ませて 頂きます。<RETN>","Where shall I scribe it?<RETN>"
"e197","呪文が必要な時は いつでも
おこしください。","Come back whenever you need it."
"e20c","<X1e>武器屋<X04>
いらっしゃいませ。
ここは武器と防具の店ですが<RETN>","<X1e>Weapon merchant<X04>
Welcome! This shop shells
weapons and armor.<RETN>"
"e243","また来てくださいね。","Come again!"
"e267","<X1e>道具屋<X04>
いらっしゃい たいまつと ワプの羽はいかがですか？<RETN>","<X1e>Tool merchant<X04>
Welcome! Looking for torches and
warp feathers?<RETN>"
"e2a9","<X1e>道具屋<X04>
いらっしゃいませ。
あらわしの鈴は いかがでしょうか？

こいつは まとめて使えば その分
効果が長続きしますから、
この辺の人は １年分 まとめ買い
しているんです。

最低でも１０個は使っておいたほうがいいと思いますよ。

でも こいつは習慣性が ありますから気をつけてください。
一度 使ったら やめられなく
なってしまいますよ。<RETN>","<X1e>Tool merchant<X04>
Welcome!
Do you need any Reveal Chimes?

If you use several of them at
once, the effects last longer. So
people around here like to buy
a whole year's worth at once.

At minimum, I think I'd recommend
that you use at least 10 of them.

But be careful; they can be
addictive. You might not be able
to stop using them once you start!<RETN>"
"e40d","また来てくださいね。","Come again!"
"e42a","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e44e","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e468","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e48d","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e4a8"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e4d4","それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e4ed","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e5c3","<X1e>フォルス<X04>
<CLEAR0400><CLEAR0401><IF0408><JUMPe5e0><IF_NOT0409><JUMPe63a><LOCe5e0><X1e>フォルス<X04>
だいぶ お疲れのようですね。
今夜は ここに お泊まりに
なっていってください。<SET0401><END>
<LOCe63a><SET0400><IF008d><JUMPeb7b><SET008d>お待ちしておりました。
弟は どうなったでしょうか？

それに、突然 モンスターどもが
いなくなってしまいました。
いったいどうしたことなのでしょう。

<CH0>
弟さんは 無事でしたよ。
リーゼルは やはり モンスターに
占領されていたんです。

この国の人々を 油断させるために
モンスターが 町の人々に
化けていたんです。

でも、この国を攻めてきた
モンスターのボス ヘルニルドを
倒したから もう大丈夫です。

この国のモンスターどもは すべて
逃げていってしまいましたよ。

<X1e>フォルス<X04>
おお それはまことでございますか !!

もう、モンスターに
おびえながら くらさなくても
よいのですね。
本当に ありがとうございます。

<CH0>
ところで、ローの具合はどうですか？

<X1e>フォルス<X04>
ああ、そうそう ローさんなんですが
すっかり良くなって 先日 旅に出るとおっしゃって 出ていかれました。

せめて あなたがたが お戻りに
なるまでと お止めしたのですが ･ ･
それで、この呪文を あなたがたに
渡してくれとお預かりしております。

<CH3>
こ、こりゃ !!
奴の自慢のフラムじゃねえか !!

ローの奴 なかなか あじなまねを
してくれるじゃねえか。
王子 さっそく 呪文の書に写そうぜ。

<X1e>フォルス<X04>
お、王子 !?

<CH3>
おめー、知らなかったのか !!
この方はな、ファーレーン王国の
セリオス王子さまだぞ !!

<X1e>フォルス<X04>
では、フェ、フェリシアさまの ･ ･ ･

そ、そんなこととは 知らず、
無理なお願いばかり してしまい
も、申し訳ございませんでした。

<CH0>
そんなことよりも、フラムの呪文を
写してもらえませんか。

<X1e>フォルス<X04>
か、かしこまりました。

<LOCeb7b><RET_IL>","<X1e>Foless<X04>
<CLEAR0400><CLEAR0401><IF0408><JUMPe5e0><IF_NOT0409><JUMPe63a><LOCe5e0><X1e>Foless<X04>
You seem very tired. Please
rest here for the night.<SET0401><END>
<LOCe63a><SET0400><IF008d><JUMPeb7b><SET008d>I've been hoping to see you.
What happened to my brother?

And why are all the
monsters suddenly gone?

<CH0>
Your brother is safe.
And Riezel is no longer
controlled by monsters.

Monsters had disguised themselves
as townspeople so that other
towns would let their guard down.

But we defeated Helnild, the
leader of the monsters, so it's
all right now.

The rest of the monsters have
all fled Wonliech.

<X1e>Foless<X04>
Oh! That's incredible!!

We can finally live without
being afraid of monsters!
Thank you so much!

<CH0>
By the way, how is Roh doing?

<X1e>Foless<X04>
Oh, Roh has recovered completely.
He left yesterday morning, saying
he was going to travel some more.

I tried to tell him to at least
wait until you returned...
But he did ask me to give you
this spell.

<CH3>
I-is this...
That Flam spell he was on
about so much?!

Guess that bastard still had
some surprises left in 'im.
Prince, we'd better get this
in our spellbooks, pronto.

<X1e>Foless<X04>
P-Prince?!

<CH3>
What, you didn't know?
That's Prince Selios of Farleyn!

<X1e>Foless<X04>
L-Lady Felicia's...!

F-Forgive me, your Highness.
In my ignorance, I've asked
far too much of you.

<CH0>
Don't worry about it. Could
we see that Flam spell, please?

<X1e>Foless<X04>
A-Absoutely.

<LOCeb7b><RET_IL>"
"eb7c","<X1e>老人<X04>
<IF_NOT008d><JUMPed62>こ、これは 私のような者に神さまが
お言葉を おかけくださるとは
あ、ありがとうございます。

えっ？ 違うんですか。
またまた、そんなことをおっしゃって

外にいる じいさんが
あなたがたが 天から降りてくるのを
見たと 自慢しておりましたぞ。","<X1e>Old man<X04>
<IF_NOT008d><JUMPed62>
F-For divine beings to speak
unto one such as me...!
I'll be eternally grateful!

What? You're not...?
I'm being foolish again!

That old man outside claimed
he saw you fall from the heavens.
He must have been exaggerating."
"ec6f","<X1e>老人<X04>
<IF_NOT008d><JUMPed62>この国から モンスターを追い払って
くださったそうですな。
ありがとうございます。
<PAGE>
あなたがたは ひょっとして
女神フレイアさまが お使わし
くださったのかも しれんな。

いや、もしかすると
神の子なのかも しれん。
フム、きっと そうじゃ。<END>
<LOCed62>突然 モンスターどもが いなくなってしまったのじゃ。
いったい どうなっておるのじゃろう。","<X1e>Old man<X04>
<IF_NOT008d><JUMPed62>It looks like you've driven the
monsters from Wonliech!
Thank you!
<PAGE>
Surely you must be messengers
sent here by Freya!

No, I suppose you're newborn gods
yourselves! Yes, that must be it!<END>
<LOCed62>All the monsters are gone
suddenly! What happened?"
"edb9","<X1e>女<X04>
<IF008d><JUMPee14>突然 モンスターが いなくなって
しまったのよ。
いったい どうなっているのかしら。<END>
<LOCee14>ちょっと、ちょっと あなたたち
聞いたわよ。この国からモンスターを追い払ったんですって。

しかも 女神フレイアさまの
お使いだったんですって？
ちっとも 気づかなかったわ。

えっ？ 違うの？
でも、おじいさんが
そう 言いふらしてたわよ。","<X1e>Woman<X04>
<IF008d><JUMPee14>All the monsters are gone
suddenly! What happened?<END>
<LOCee14>Wait... I've heard of you!
You're the ones who drove
the monsters out of Wonliech!

And you're also messengers
from the Goddess! I never
realized...!

What? You're not?
But that's what the old
man was telling everyone!"
"eef7","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。","<X1e>Priest<X04>
Please speak with me whenever
you are troubled."
