"e223","<X1e>賢者<X04>
わしは この国一の賢者じゃ。
そなたたちに 呪文を授けよう。<X0d>","<X1e>Sage<X04>
I am the wisest sage in Wonliech.
Shall I teach you any spells?<X0d>"
"e264","<X08>どの 呪文が 欲しいのじゃな？<RETN>","<X08>Which spell do you wish?<RETN>"
"e282","誰の 呪文の書に 書き込むのじゃな？<RET_IL>","Into whose spellbook shall I
scribe it?<RETN>"
"e2a5","どこに 書き込むのじゃな？<RETN>","Where shall I scribe it?<RETN>"
"e2bf","どれどれ、書き込むとしようか。<X0a>","Do you wish me to scribe anything
more?<X0a>"
"e2f4","また、必要になったら
いつでも 来るがよい。","Should you have any further needs,you may always come to me."
"e41c","<X1e>兵士<X04>
<IF00ab><JUMPecd6>セリオス王子さま、旅のおしたくは
おすみに なられましたか。

ラヌーラ王国を 襲った 怪物たちは
この国に 来た怪物たちとは
比べものに ならないほど 強いそうでございます。

ご出発に なられる前に、
十分に 旅の おしたくを おととのえ
くださいませ。","<X1e>Soldier<X04>
<IF00ab><JUMPecd6>Have you fully prepared yourself
for the journey, your Highness?

The monsters who attacked Lanoura
are very strong. There's no
comparison with the ones who
came here.

Please be sure you've made all
necessary preparations before
we depart."
"e517","<X1e>兵士<X04>
<IF00ab><JUMPecd6>セリオス王子さま、
ラヌーラ王国行きの 船は、いったん
ラルファの砦に まいります。

そこで 水や食料の 補給をして
一路、ラヌーラ王国の ヨルドの港に
向かうはずで ございます。","<X1e>Soldier<X04>
<IF00ab><JUMPecd6>The ship to Lanoura will be
stopping briefly at Fort Larfa,
your Highness.

It will resupply with food and
water there, and then continue
directly to Yold Harbor in
Lanoura."
"e5ce","<X1e>兵士<X04>
<IF00ab><JUMPecd6>セリオス王子さま、ラヌーラ王国に
行かれるそうですね。

ラルファの砦と ヨルドの港の間には
多島海と 呼ばれる場所が あります。そこには、私の 大好物の
シーラスという魚が おります。

でも、あの辺りには
たちの悪い海賊が 出るので、
漁師たちも なかなか漁に 出られず
めったに 食べられないんですよ。

あー、シーラスが 食べたいなぁ。","<X1e>Soldier<X04>
<IF00ab><JUMPecd6>I hear you're heading to Lanoura,
your Highness?

There's an archipelago in between
Fort Larfa and Yold Harbor. A kindof fish I really like called 
""shillath"" can be found there.

But because some vicious pirates
have been seen in the area, 
fishing boats haven't been
catching many of them.

I really miss my shillath!"
"e71b","<X1e>兵士<X04>
<IF00ab><JUMPecd6>セリオス王子さま、
今、ラヌーラは 大変 危険だと
聞いております。

くれぐれも、お気をつけてください。","<X1e>Soldier<X04>
<IF00ab><JUMPecd6>Lanoura is very dangerous
nowadays, your Highness.

Please stay safe!"
"e78c","<X1e>兵士<X04>
<IF00ab><JUMPecd6>セリオス王子さま、
ワプの翼は お買いになられましたか。

あれさえ 持っていれば 行ったことのある町へなら どこへでも 一瞬で
行くことが 出来ます。

危険なラヌーラへ 行かれるには 必ず一つは お持ちに なっていたほうが
良いと思います。

ただし、ワプの翼は洞窟や塔の中では使えませんので くれぐれも
注意してくださいね。","<X1e>Soldier<X04>
<IF00ab><JUMPecd6>Has your Highness purchased any
warp wings?

Carrying them allows you to
travel to any town you've been
to before instantly.

I strongly recommend taking some
to a dangerous place like
Lanoura.

Of course, they cannot be used
in caves or towers, so always
stay careful."
