"e348","<CALLef73><IF00d7><JUMPe388>用がねーなら、さっさと出てってくれおれは、忙しーんだ。<END>
<LOCe388>お、お前ら !!
おぼえてろ !!","<CALLef73><IF00d7><JUMPe388>If ya don't need anything, get
out. I'm busy.<END>
<LOCe388>Y-you!!
I'll get ya for this!!"
"e3a4","<CALLef89>シーラスは どうだった？

あの魚は 光るものを見ると
かたっぱしから飲み込んじまうんだ。だから腹の中からスプーンやコインが出てくるのさ。

まあ、おれたちにゃ
いい 小づかい稼ぎに なるけどな。
また 捕まえたら 食わしてやるよ。","<CALLef89>How was yer shilleth?

Whenever those guys see somethin'
shiny, they gulp it down whole.
So their bellies're full o'
spoons an' coins.

Good way to earn some spare
change, yeah? I'll serve ya
the next one we catch."
"e481","<CALLef89>とうとう ここにある酒も
無くなっちまった。

最近 船長のきげんが悪くて
すぐに怒り出すんだ。
酒があれば きげんが よくて
なんでも してくれるんだけどな。","<CALLef89>We finally used up all our rum.

The cap'n's been in a bad mood,
and he lashes out. If ya just had
some rum, he'd cheer right up an'
do whatever ya ask 'im."
"e519","<CALLef89><CALLe589>

ほら 向こうに ひとり寝込んでる奴がいるんだけど、船長に 思いっきり
殴られたんだぜ。
ほんとに ひでーよな。","<CALLef89><CALLe589>

And look at that poor bastard
over there! Thrashed within an
inch o' his life by the cap'n!
Cruel, I tell ya!"
"e589","船長が突然 バクチをやっちゃ
いけないって 言い出したんだ。<WAIT>
ひでーよなー。<RET_IL>","The cap'n suddenly declared that
we gotta stop gamblin'.<WAIT>
He's so cruel!<RET_IL>"
"e5d2","<CALLef89>よう 客人、ここには 武器とか
爆薬が 沢山あるから 気をつけて
くれよ。","<CALLef89>Be careful in here, mates! It's
packed with arms and explosives."
"e61a","<CALLef89><IF0408><JUMPe65c><IF0409><JUMPe65c>やあ 客人 元気そうだな？
疲れたら いつでも来なよ。<END>
<LOCe65c><SET0400>さあ ゆっくり休んでくんな。","<CALLef89><IF0408><JUMPe65c><IF0409><JUMPe65c>How ya feelin', mates?
If yer tired, ya can always take
a rest here.<END>
<LOCe65c><SET0400>Okay, rest well!"
"e67b","<CALLef89>よう、あんたたちか、ここには
変わった宝石が 沢山あるんだぜ。<IF00d2><JUMPe713>

え、赤い宝石？
ここにゃ そんな物 ゴロゴロあるが
船長の許可がなけりゃ見せられねーよ<LOCe713>","<CALLef89>Welcome! This room is full of
rare jewels.<IF00d2><JUMPe713>

A red jewel? Yeah, there's mounds
of 'em here. But ya can't see 'em
without the the cap'n's say-so!
<LOCe713>"
"e714","<CALLef89>セリスの町の酒場が 開いてれば
船長のきげんも なおるんだが ･ ･ ･","<CALLef89>If the bar in Selis'd open, the
cap'n'd cheer up..."
"e757","<CALLef89>スエルの村にも おれたちのアジトが
あるんだぜ。","<CALLef89>We've got a base in Suil too."
