"*","Pirate Isle, chapter 4"
"e27c","<CALLeedf><IF00dd><JUMPebc6><IF00dc><JUMPeb4a><IF00db><JUMPe52a><ASMec72><IF_NOT0401><JUMPec25><CALLec29>

クンクン、このにおいは !?<WAIT>
お、お前ら !!
なんか、いーもの 隠してねーか !!

<CH3>
さすがだな、ボアード。
こいつの においだけは すぐわかる。

<CALLeedf>そ、そいつは 酒じゃねーか。
ゲイル、頼む そいつを おれにくれ。

<CH3>
もちろんだ。
こいつは お前さんのために
持ってきたんだからな。

<ASMec8e><SET00db><X0e><X1c>を渡しました。<X0c0301><X04>

<CALLeedf>そうか、やっぱり
持つべきものは 友だな。

ところで、この酒は どこで手に
入れたんだ ？

<CH3>
セリスの城下町だぜ。

<CALLeedf>セリス？
あそこはモンスターに占領されて ･ ･

も、もしかして モンスターから
解放されたのか !?

<CH1>
さようです。
もうこのラヌーラ王国にモンスターは１匹も残っておりません。

<CALLeedf>そうだったのか。
いや よく 知らせてくれた。
早速 酒を買いに行かせよう。

<ASMec96><LOCe52a><SET00dc><SET00dd>フーン、お前ら スゲーんだな。
あの怪物どもを 退治したのか。
で、これから どーするんだ ？

<CH1>
ソルディスに 行こうかと 思ったの
ですが 国境の洞窟が 通れないので
どうしたものかと ･ ･ ･。

<CH0>
ウォンリーク以来アクダムの足取りはプッツリ切れてしまったし ･ ･ ･。

<CH2>
しかたないわ。
いったん ファーレーンに
帰りましょう。

<CH3>
ファーレーンか なつかしいなぁ。
そうすっか。

<CH0>
だめだ !!
アクダムを倒すまでは 帰れない !!
そう 誓ったんだ !!

<CH2>
そうだったわね。
でも、これから どうしましょう。

<CH1>
アクダムが ラヌーラに来たのは
間違いないと 思います。

確か、私の兄 フラートは
ソルディスに逃げようと国境の洞窟に行くと落盤が起こって通れなくなってしまったと言っていましたよね。

しかし あの国境の洞窟は過去一度も
落盤など起こしたことは 無いのです。

落盤が起こったころ 我々は ちょうどこのラヌーラに向かっていたころだと思います。つまりアクダムがこの国に入った直後だと考えられるわけです。

<CH2>
ひょっとして、
その落盤は アクダムの仕業？

その可能性が 高いと 思います。
あの洞窟を通れなくして メリットが
あるのは アクダムぐらいしか
おりません。

<CH0>
すると、アクダムは ソルディスに
入った 可能性が 強いな。

<CH1>
ええ、ですから なんとしても
ソルディスに行きたいのです。

<CALLeedf>さっきから 聞いてると 国境の洞窟を通りたいみたいだな。

<CH3>
そうなんだ。爆薬でも あれば
通れるのだが ･ ･ ･。 !?

<X1c>ボアードはニヤニヤしています。<X04>

<CALLeedf>爆薬が あれば だって。<WAIT>
おれさまを 誰だと思ってるんだ。<WAIT>
ここを どこだと思ってるんだ。

そんなもん くさるほど あるぜ。

<CH3>
そうだよな、海賊だもんな。
じゃ 遠慮なく もらっていくぜ。

<CALLeedf>ただし 酒１本と 爆薬１個との
交換だからな 文句言うなよ。

<CH3>
チッ１個だけかよ？ まあ いいか。

<CALLeedf><JUMPebc6><LOCeb4a><ASMec72><IF_NOT0401><JUMPeb94>なんだ まだ 爆薬が欲しいのか？
<ASMec84><X08><IF_NOT00dd><JUMPeb94><X0e><X1c>を渡しました。<X0c0301><X04>

<JUMPebc6><LOCeb94>また 爆薬が 欲しかったら
酒と交換してやるからな。<END>
<LOCebc6>右奥の武器庫から 持っていってくれ。

<CH2>
ボアードさん、ありがとう。

<CALLeedf>ナンノ なんの。 ポリ ポリ<END>
<LOCec25><CALLec29>","<CALLeedf><IF00dd><JUMPebc6><IF00dc><JUMPeb4a><IF00db><JUMPe52a><ASMec72><IF_NOT0401><JUMPec25><CALLec29>

Sniff... That smell!<WAIT>
Are ya hidin' tha good stuff?!

<CH3>
Knew ya'd know right away just
from the smell, Buald.

<CALLeedf>T-That's rum!
C'mon, Gail, lemme have some!

<CH3>
Of course. Brought it for you,
after all.

<ASMec8e><SET00db><X1c>Handed over the <X04><X0e><X1c>.<X0c0301><X04>

<CALLeedf>Ah! Nothin' like havin' friends.

Say, where'd ya find this stuff?

<CH3>
The bar in Selis.

<CALLeedf>Selis?
Wasn't it o'errun by monsters?

Y-Ya mean the monsters're gone?!

<CH1>
That's correct. Not one monster
remains in the Kingdom of Lanoura.

<CALLeedf>Ya don't say! Well, thanks fer
lettin' me know. I'll send someoneta buy some rum right away.

<ASMec96><LOCe52a><SET00dc><SET00dd>Huh, ya wiped those monsters out?
That's impressive.
Where're ya off ta next?

<CH1>
We don't know. We intended to
continue to Soldythe, but the
Border Cave is impassable.

<CH0>
Achdam's trail goes cold after
Wonliech.

<CH2>
Maybe all we can do is head back
to Farleyn for now.

<CH3>
Maybe we should. Be nice to see
it again.

<CH0>
No!!
I can't go home until I've beaten
Achdam. I swore a vow!

<CH2>
I guess that's true.
What should we do, then?

<CH1>
I have no doubt that Achdam came
to Lanoura.

We also know that my brother Flartwas unable to flee to Soldythe
because of the cave-in at the
Border Cave.

However, there has never been a
cave-in there before.

The cave-in happened exactly when
we were on our way to Lanoura. In
other words, we must assume that
it happened when Achdam arrived.

<CH2>
So in other words, it was Achdam'swork?

I think that's very possible.
Apart from Achdam, there's no one
who would benefit from making the
cave impassable.

<CH0>
Then there's a strong chance
that Achdam is in Soldythe.

<CH1>
Yes. So, one way or another, we
want to go to Soldythe.

<CALLeedf>So yer sayin' ya'd like
ta go through the Border Cave?

<CH3>
Right. Maybe if we had some
black powder... !!

<X1c>Buald is grinning ear to ear.<X04>

<CALLeedf>If ya had some black powder?<WAIT>
Who d'ya think I am?!<WAIT>
Where d'ya think we are?!

This whole place reeks o'
black powder!

<CH3>
Of course. Pirates.
All right, we'll help ourselves.

<CALLeedf>One barrel fer one bottle o' rum!
That's the rate. No arguin'.

<CH3>
Hah, just one barrel? 
All right, fine.

<CALLeedf><JUMPebc6><LOCeb4a><ASMec72><IF_NOT0401><JUMPeb94>What? More black powder?
<ASMec84><X08><IF_NOT00dd><JUMPeb94><X1c>Handed over the <X04><X0e><X1c>.<X0c0301><X04>

<JUMPebc6><LOCeb94>If ya want more black powder,
you'll have ta trade some rum fer
it!<END>
<LOCebc6>Pick it up in the armory.
In there, on the right.

<CH2>
Thank you so much, Buald.

<CALLeedf>I-It's no problem! Hee hee...<END>
<LOCec25><CALLec29>"
"ec29","くそー、イライラするなー !!<WAIT>
お前らの顔なんか 見たくもねぇ !!
出ていけ !!<RET_IL>","Dammit, I'm pissed!!<WAIT>
An' I don't wanna see yer faces!
Now sod off!!<RET_IL>"
"ecac","<X1e>海賊<X04>
<IF00db><JUMPed08>ワ、わりーな
船長に あんたたちとは 口をきいちゃいけないって 言われているんだ。<END>
<LOCed08>いやー、船長のきげんが なおって
助かったよ。","<X1e>Pirate<X04>
<IF00db><JUMPed08>S-Sorry. The cap'n said we wasn't
s'posed ta speak ta you.<END>
<LOCed08>Wow! The cap'n's in a better mood
now."
"ed35","<X1e>海賊<X04>
よう 客人、
おれと ゲームで 勝負しねーか。<RETN>","<X1e>Pirate<X04>
Welcome, mates!
Care to play a game?<RETN>"
"ed67","<X08>そうか、じゃあ しょうがねえな。
いつでも来なよ 相手になってやるぜ。","<X08>No prob! Come back and play
any time!"
"edac","<IF_NOT00dd><JUMPecac><X1e>海賊<X04>
船長の許可を もらってきたって？
<ASMee5c><IF0401><JUMPee1c><CLEAR00dd>わかった、ほらよ 持っていきな。<WAIT>
<X0e><X1c>をもらいました。<X0c0301><X04><END>
<LOCee1c>いくら 許可をもらってきたって
持てねーもんは しょうがねーよな。","<IF_NOT00dd><JUMPecac><X1e>Pirate<X04>
Ya get the cap'n's permission?
<ASMee5c><IF0401><JUMPee1c><CLEAR00dd>All right, here ya go.<WAIT>
<X1c>Received <X04><X0e><X1c>.<X0c0301><X04><END>
<LOCee1c>No matter what the cap'n says,
ya can't hold any more."
"ee74","<IF_NOT00db><JUMPecac><X1e>海賊<X04>
<IF0408><JUMPeec0><IF0409><JUMPeec0>やあ 客人 元気そうだな？
疲れたら いつでも来なよ。<END>
<LOCeec0><SET0400>さあ ゆっくり休んでくんな。","<IF_NOT00db><JUMPecac><X1e>Pirate<X04>
<IF0408><JUMPeec0><IF0409><JUMPeec0>How ya feelin', mates?
If yer tired, ya can always take
a rest here.<END>
<LOCeec0><SET0400>Okay, rest well!"
"eedf","<X1e>ボアード<X04><RETN>","<X1e>Buald<X04><RETN>"
"eeea","<X1e>ミラルダ<X04>
なんだね、まだ何か用があるのかい。","<X1e>Miralda<X04>
Don't need anything else, do you?"
"ef18","<X1e>神父<X04>
なんだ 用がねえのに 話しかけるな !","<X1e>Priest<X04>
If ya don't need anything,
don't bug me!"
