"e373","セリオス<RET_IL>"
"e383","海賊<RET_IL>"
"e39f","<X08>ルールは簡単だぜ。
持ち点は１００点、この１００点を
ＨＰ、攻撃力、防御力、すばやさの
４つに振り分けるんだ。

振り分けが 終わったら 戦闘開始。
先にＨＰが０になった方の負けだ。

賞品は 連勝した回数で 決まるぜ
一度でも負けたら 最初からだ。
どこでやめるかも よく考えてな。

じゃあ はじめようぜ。<RETN>"
"e4c1","<X08>振り分け方は 【２】【８】で選んで
【６】でプラス、【４】でマイナス
【RETURN】で 決定だぜ。<RETN>"
"e51d","<X08>よし、じゃあ はじめるぞ。

<RET_IL>"
"e539","の攻撃<X0a>"
"e55b","に<X1e><RET_IL>
<CONT><X04>のダメージ !!<X0a>"
"e56e","会心<JUMPe579><LOCe575>痛恨<LOCe579>の 一撃 !!<RETN>"
"e584","あんたの勝ちだ。<X0d>"
"e595","あんたの負けだ。<X0d>"
"e5a6","<X08>ええと、今のところ <RET_IL>"
"e5bb","だけど
賞品をもらわずに ガンバルかい？<RETN>"
"e5e2","<X08>続けるんだな。
ヨーシ そうこなくっちゃな。
じゃあ 続けていくぞ。

<LOCe624><RET_IL>"
"e625","なんだ いらねーのか。<RETN>"
"e63b","１<RET_IL>
<CONT>連勝だから
賞品は <X0e><RET_IL>"
"e652","もう一度やるかい。<RETN>"
"e665","いやー まいった まいった
あんたには とてもかなわねーや。

<LOCe69e>ええと、<RET_IL>"
"e6a7","だぜ。<RETN>"
"e6ae","なんだ、いらねーのか。<RETN>"
"e6c5","遊びたくなったら いつでも来なよ
相手になってやるぜ。"
