"e2cf","<X1e>賢者<X04>
これは、これはエリオンどの。
呪文が 必要なのかな？<X0d>","<X1e>Sage<X04>
Ah, <CALLee99>!
Are you needing any spells?<X0d>"
"e309","<X08>どの 呪文を 書き込むかね？<RETN>","<X08>Which spell do you want?<RETN>"
"e325","誰の 呪文の書に 書き込むかね？<RETN>","Whose spellbook should I
scribe it in?<RETN>"
"e344","どこに 書き込むかね？<RETN>","Where should I scribe it?<RETN>"
"e35a","では、書き込むとしよう。<X0a>","Want me to scribe anything else?<X0a><LOC0001><X1e>Fisherman<X04><RETN><LOC0002> shillath<RET_IL><LOC0003> Golden Key<RET_IL><LOC0004><X1e>Woman<X04><RETN><LOC0012>You know about<CALL0002>, right?
The flavor's great, and you'll
find valuables in their stomachs.

So I opened 'er up, all excited,
and out pops a silver spoon
and six coins.<RET_IL>"
"e381","必要になったら いつでも 来なさい。","Come see me anytime you need to."
"e3c3","<X1e>武器屋<X04>
いらっしゃい 水晶の杖なんか
いかがでしょうか？

<RET_IL>","<X1e>Weapon merchant<X04>
Welcome! Need a Crystal Staff?

<RET_IL>"
"e3fc","また来てくれよ。","Come again!"
"e439","<X1e>道具屋<X04>
らっしゃい、道具の店だぜ。
どんな用だい？<RETN>","<X1e>Tool merchant<X04>
Come in! I've got your tools.
Whatcha need?<RETN>"
"e46c","またどうぞ。","Come back, y'hear?"
"e484","なんだ 持てねえじゃん。

<RET_IL>","You can't hold no more!

<RET_IL>"
"e49d","どれを買うね？
<RETN>","Whatcha buyin'?
<RETN>"
"e4ad","<X0e>だね。
まいどあり。

<RET_IL>","The <X0e>?
Thanks a bunch!

<RET_IL>"
"e4cb","どれを売るね？
<RETN>","Whatcha sellin'?
<RETN>"
"e4db"," Gold になるけど？
<RETN>"," gold.
How's that?"
"e4ef","そうか。

<RETN>","Okay.

<RETN>"
"e4f9","まいどあり。
<RETN>","Thanks!
<RETN>"
