"e1d9","<X08>どの 呪文が 欲しいのじゃ？<RETN>","<X08>Which spell do you wish?<RETN>"
"e1f5","誰の 呪文の書に 書き込むのじゃな？<RET_IL>","Into whose spellbook shall I
scribe it?<RETN>"
"e218","どこに 書き込むのじゃな？<RETN>","Where shall I scribe it?<RETN>"
"e232","どれどれ、書き込むとしようか。<X0a>","Do you wish me to scribe anything
more?<X0a>"
"e267","また、必要になったら
いつでも 来るがよい。","Should you have any further needs,you may always come to me."
"e3a8","<IF0112><JUMPe84d><IF0110><JUMPe5c6><SET0110><CH1>
ジェルマン兄さん !!
<PAGE>
<X1e>ジェルマン<X04>
お前は エリオンでは ないか !!
いつ ラヌーラに 戻ったのだ？

<CH1>
つい この間のことです。
兄上 そんなことよりも あなたは
何を なさったのですか？

税を重くして 払いきれない者からは
物品を 取り上げているそうですね？

<X1e>ジェルマン<X04>
な、なんのことだ？
おれは 知らんぞ !!

そっ、そうだ !!
リストンが 勝手にやったのだろう。

<X1e>リストン<X04>
わ、私は ジェル ･ ･ ･
<X1e>ジェルマン<X04>
うぉほん リストン !!

言い訳など みっともないぞ !!
リストン、人々から 取り上げた物を
返してこい。<WAIT>
今すぐだ、早くしろ !!

<ASMe5bb><RET_IL>","<IF0112><JUMPe84d><IF0110><JUMPe5c6><SET0110><CH1>
Jelman!
<PAGE>
<X1e>Jelman<X04>
Aerion?! Is that you?
When did you come back to
Lanoura?

<CH1>
I've just arrived.
But more importantly, Jelman,
what have you been doing?

I understand you've been levying
heavy taxes, and seizing property
from those unable to pay?

<X1e>Jelman<X04>
W-What?
I had no idea!!

O-Of course! Liston must
have done that on his own!

<X1e>Liston<X04>
I-I... Your Highness...
<X1e>Jelman<X04>
Ahem... Liston!

Don't disgrace yourself with
excuses! Go return all the
property you've seized!<WAIT>
Go, Liston! Immediately!

<ASMe5bb><RET_IL>"
"e5c6","<SET0112><X1e>ジェルマン<X04>
まったく あいつにも 困ったものだ。

<CH1>
兄上、ごまかさないでください。

税をそれほどまで 重くしたのに
国は 何も変わっていないようですが
何に使われたのですか？

すべては 兄上の 欲の深さが
原因だという ことぐらいは
私でも わかります。

兄上と リストン伯爵の
財産に したのでしょう。
この館は 以前と比べて かなり
立派に なったようですし ･ ･ ･

<X1c>ここでも リュナンの お説教が
始まってしまいました。<X04>

兄上、反省してもらえましたか？

<X1e>ジェルマン<X04>
ふむ ･ ･ ･ ･ ･

おれと リストンの財産を
国のものとして 人々にわびよう。
しかし 問題がもう一つ残っている。

あのバケモノどもは どうすれば
いなくなるのだろう？
このままでは ラヌーラ王国は
滅びてしまう。","<SET0112><X1e>Jelman<X04>
I knew the Count was trouble!

<CH1>
I'm your little brother, Jelman.
Please don't lie to me.

Even with the taxes so high,
I haven't seen any changes in the
kingdom. So what was the money
used for?

Even I can see that there was
no cause for it except your
own avarice.

It all went to Count Liston's
coffers, and yours. For example,
this manor seems to have grown
a great deal since I saw it last.

<X1c>From there, Runan launched into
a lecture.<X04>

So are you ready to make amends
now?

<X1e>Jelman<X04>
Uhh...

I'll give Liston's wealth, and
mine, to the kingdom, to apologizeto the people. But there is still
one problem left.

What are we going to do about
those monsters? There's not going
to be any kingdom left at this
rate!"
"e84d","<X1e>ジェルマン<X04>
いつになったら バケモノが
いなくなるのだろう？","<X1e>Jelman<X04>
How long is it going to be until
the monsters are gone?"
"e889","<X1e>リストン<X04>
<IF0400><JUMPe968><SET0400>お前たち、いくら 税を負けてくれ
と言っても 無駄じゃぞ。
ん !?

あ、あなたさまは もしや
エリオンさまでは ありませんか !?

<CH1>
そうだ !!
リストン、何をうろたえている。
やましいことでも あるのか !!

<X1e>リストン<X04>
<LOCe968>エ、エリオンさま。
わ、私に ･ ･ ･
や、やましいことなど ･ ･ ･ 。","<X1e>Liston<X04>
<IF0400><JUMPe968><SET0400>I can't give you a tax exemption,
no matter how much you ask.
...Huh?!

It can't be...
Prince Aerion?!

<CH1>
Indeed.
You seem flustered, Count Liston.
Guilty conscience, perhaps?

<X1e>Liston<X04>
<LOCe968>P-Prince Aerion...
G-Guilty...?
I... I..."
"e9a8","<X1e>リストン<X04>
お、お前たちも 一緒に来い。

<X1e>兵士たち<X04>
は、はい。","<X1e>Liston<X04>
You two! Come with me!

<X1e>Soldiers<X04>
Y-Yes, sir!"
"e9e5","<X1e>兵士<X04>
あちらに いらっしゃるのが
ジェルマンさまだ。
決して 礼を失しては ならんぞ。","<X1e>Soldier<X04>
You are in the presence of
his Highness, Prince Jelman.
So mind your manners."
