e145,"<X1e>賢者<X04>
これは、これはエリオン殿。
呪文が 必要なのかな？<X0d>"
e17d,<X08>どの 呪文を 書き込むかね？<RETN>
e199,誰の 呪文の書に 書き込むかね？<RETN>
e1b8,どこに 書き込むかね？<RETN>
e1ce,では、書き込むとしよう。<X0a>
e1f5,"また、必要になったら
いつでも 来なさい。"
e290,"<X1e>ジェルマン<X04>
おお エリオン、
ソルディスに 行くつもりらしいな。

ソルディスに 行ったら ディーナ姫に『私は決してあきらめませんぞ。』と伝えてくれ。"
e320,"<X1e>侍女<X04>
あら エリオンさま。
今日は エリオンさまの 大好きな
ビーフカレーで ございます。"
e376,"<CALLe6ac>ソルディスには 珍しいドラゴンが
いるそうです。

しかも そのドラゴンを
飼っている者まで いるとか
どうなってるんでしょうね。"
e3f3,"<CALLe6ac>城下町の酒場が 開いたんですよ。
早く 仕事を終えて 酒場に行きたいな

なにせ あのギュリゲスとかいう奴が
攻めてきて以来、この国では 酒が
手に 入らなかったんですから。

あっ そうだ、他の町の奴らにも
早く教えてやらなくちゃ。"
e4d0,"<CALLe6ac>ソルディス王国に 行かれるそうで
ございますね。

ソルディスは 砂漠の国、
砂漠には 危険な生き物がおります。
くれぐれも お気をつけください。"
e55c,"<CALLe6ac>ところで ソルディスに 行かれる
そうで ございますね。

先日 ソルディスから来た
奴隷商人から 妙な話を 聞いたんです。なんでも 最近 ソルディスにも
バケモノが 現れているらしいのです。

らしいと言うのは、この国を
襲ってきた 時とは 違い、
ボスが 見当たらないそうなのです。

ただ、国中のいたる所で 怪しげな
生き物が 人々を 襲っているそうです。"
e6ac,"<X1e>兵士<X04>
エリオンさま、
ありがとうございました。

<RET_IL>"
