"*","Vasnune (Chapter 5/6)"
"e1c9","<X1e>道具屋<X04>
いらっしゃいませ。
ここは 道具のお店よ
どんな ご用なの？<RETN>","<X1e>Tool merchant<X04>
Welcome! This is a tool shop.
What do you need?<RETN>"
"e20b","また来てね。","Come again!"
"e223","おや？これ以上持てないようですね。

<RET_IL>","You can't carry any more.

<RET_IL>"
"e247","どれを買ってくれるの？
<RETN>","What would you like to buy?
<RETN>"
"e25f","<X0e>ね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e282","どれを 売ってくれるの？
<RETN>","What would you like to sell?
<RETN>"
"e29b"," Gold になるけど
それでも よろしくて？
<RETN>"," gold.
Will that be okay?"
"e2c3","それは残念だわ･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e2dc","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e378","<X1e>商人<X04>
<IF0160><JUMPe42b>おや？ あんたは 賞金稼ぎだね？
ここのお姫さまが いなくなったのを
聞きつけて 来たんだろ？

でも もう今ごろ来ても遅いぞ
ディーナ姫の いいなずけが
助けに行くんだってさ。<END>
<LOCe42b><IF0401><JUMPe481><SET0401>あなたが ディーナ姫の いいなずけ
だったとは 知りませんでしたよ。

<IF0408><JUMPe4a1><IF0409><JUMPe4a1><LOCe481>賞金稼ぎじゃ なかったんですね。<END>
<LOCe4a1><SET0400>あっ これは 気がつきませんでした。ささっ どうぞ お休みください。","<X1e>Merchant<X04>
<IF0160><JUMPe42b>Oh, are you here for the bounty?
You must have heard that
Soldythe's princess has vanished.

But you're already too late.
<CALL0002>'s betrothed is
on his way to rescue her.<END>
<LOCe42b><IF0401><JUMPe481><SET0401>I didn't realize you were
betrothed to <CALL0002>!

<IF0408><JUMPe4a1><IF0409><JUMPe4a1><LOCe481>I guess you weren't a bounty
hunter, huh?<END>
<LOCe4a1><SET0400>Oh, sorry! I wasn't paying
attention. Please, please! Rest
all you like."
"e4e5","<X1e>男<X04>
女房が怒っちゃって
家に入れてくれないんですよ。","<X1e>Man<X04>
My wife is so mad she won't let
me in the house."
"e51a","<X1e>女<X04>
<IF01e1><JUMPe577>発明家の ハリーさんが ついに
空を飛んだの、今は ルドラで
大凧を売っているそうよ。<END>
<LOCe577>発明家の ハリーさんが ルドラから
いなくなってしまったそうよ。","<CALL0001><IF01e1><JUMPe577>I heard that Harry the inventor
finally got to fly, and now he's
selling his kites in Rudra.<END>
<LOCe577>I heard that Harry the inventor
has disappeared from Rudra."
"e5b5","<X1e>女<X04>
<IF0215><JUMPe6ac><IF01e1><JUMPe64d>なんかね さっき 砂漠の行商人が
ディーナ姫を 見つけたって 言って
お城に入っていったの。

後で 聞いたんだけど 賞金を
沢山もらったそうよ。<END>
<LOCe64d>ディーナ姫は まだお戻りに ならないそうよ。それで クレアさまは ずっと心配なさってるんですって。<END>
<LOCe6ac>ディーナ姫が お戻りになったそうよ
よかったわね。
これで クレアさまも 安心でしょう。","<CALL0001><IF0215><JUMPe6ac><IF01e1><JUMPe64d>That merchant from the desert
went into the castle earlier,
saying he'd found the princess.

Later on, I heard that he got a
huge reward.<END>
<LOCe64d><CALL0002> still hasn't
returned. I've heard that Queen
Claire is deeply worried.<END>
<LOCe6ac>I'm so glad to hear <CALL0002>
is home. And the Queen must be
so relieved.<END>
<LOC0001><X1e>Woman<X04><RETN>
<LOC0002>Princess Dina<RET_IL>"
"e700","<X1e>女<X04>
もう あんなバカ亭主は 家に
入れてやらないんだから。","<CALL0001>There's no way I'm letting such anidiot back in my house."
"e739","<X1e>女<X04>
やっと 町の男の人たちが
帰ってきたみたいね。","<CALL0001>It looks like all the men are
finally home."
"e76b","<X1e>女<X04>
道具屋さんは だんなさんが
帰ってきたのに これからは ずっと
奥さんが お店をやるそうよ。","<CALL0001>I think the woman at the tool shopis going to keep running it, even
though her husband's home now."
"e7c7","<X1e>神父<X04>
私は 女性に興味など ございません。","<X1e>Priest<X04>
I have no interest in women."
