"*","Vasnune Castle 2F - Chapter 4 (Sylphie fight)"
"e34a","<X1e>シルフィ<X04>
おや、お客様だね。
さあ、私と一緒に 踊りましょう。

<X1c>シルフィの目を見たとたん 男たちは
虚ろな目つきに なっていった。<X04>

<ASMe7c4><CH2>
王子 !! リュナン !! ゲイル !!
いったい どうしたの !!

<CH1>
か、体が いうことを きかない !!

<X1e>シルフィ<X04>
ホッホッホッ !!
早速、私の術に はまったようだね。

おや、女が混ざっているようね。
ゆっくりと 始末してあげましょう。
これで、ますます ベラミスさまも
お喜びに なられますわ。

その前に、いいことを 教えて
さしあげましょう。
この国の宝を ご存知かしら ？

<CH1>
ま、まさか ギルモアの虹では ？

<X1e>シルフィ<X04>
そう、よく ご存知ね。
私は それを 手に入れに この国に
来ましたのよ。

でも、ホッホッホッ
もう 役目は終わりましたわ。
ふぬけの 王さまから頂きましたもの

<CH1>
色仕掛けで だまし取ったな !!

<X1e>シルフィ<X04>
だまし取ったなんて 人聞きの悪い。
頂いたのですよ、踊りの報酬として。ホッホッホッ。

<CH2>
そんな勝手な理屈は許しません !!
返しなさい !!

<X1e>シルフィ<X04>
お黙り !!
小娘の分際で 私に盾突くとは。

でも、いいわ。どうせ もうすぐ
死ぬんだから、許してあげる。

ギルモアの虹は つい 今しがた
大ワシに持たせて ベラミスさまの
元へ送りましたわ。ホッホッホッ。

さあ、おしゃべりは もうおしまい。
たっぷりと かわいがって
あげましょう。<WAIT>
お前たち おどき !!","<X1e>Sylphie<X04>
Oh, we have guests!
Come and dance with me!

<X1c>All the men take on a vacant
expression the moment they meet
Sylphie's eyes.<X04>

<ASMe7c4><CH2>
Your Highness? Runan? Gail?
What's going on?!

<CH1>
I-I can't control my body.

<X1e>Sylphie<X04>
Hee hee! It didn't take long for
my skills to affect you.

Oh, you brought a woman with you?
Well, I'll take care of her
eventually. Lord Beramis would
expect no less.

But first, why don't I tell you
a secret?
Do you know what kingdom's
treasure is?

<CH1>
Y-You mean the Gilmoran Prism?

<X1e>Sylphie<X04>
Ooh, you're clever!
That's why I came here. To get
the Prism.

But it didn't take long! Hee hee!
That king didn't resist at all!
He handed it right over!

<CH1>
You hoodwinked him with your
feminine wiles!

<X1e>Sylphie<X04>
""Hoodwinked""? That sounds so
disreputable. It was compensation
for a dance! Hee hee!

<CH2>
I don't buy that excuse for a
second. Give it back!

<X1e>Sylphie<X04>
Oh, hush! What is a whelp like
you going to do about it?

But, if you're so eager to die
immediately, I am happy to help.

You just missed the giant eagle
carrying the Prism. It's already
on its way to Lord Beramis.
Hee hee!

Well, that's enough conversation.
I'll be sure to shower you with
all the attention you deserve.<WAIT>
Now, kneel!"
"e7d2","<X1e>アクダム<X04>
ウグググ、またしても またしても !!しかし あの女の役目は もう終わった。

<LEADERea9f,eac6,ea9f,eb09,eb2c>

<X1e>アクダム<X04>
フ アッ ハッ ハッ ばかめ !!
この女が 目に入らないのか !!

<LEADEReb51,eb85,eb51,eba9,ebdf>

<X1e>アクダム<X04>
フ アッ ハッ ハッ !!
おほめの言葉と 受け取っておこう。

ところで、いつまでも こんなことを
繰り返していても しかたあるまい。
この辺で 決着を つけようではないか。ん、どうだ。

<LEADERec0d,ec27,ec0d,ec45,ec5f>

<X1e>アクダム<X04>
おっと、早合点してもらっては困る。

姫を 返してほしくば ギルモアの星を持って 風よけの穴に 来るがいい。<WAIT>
ただし、セリオスひとりでな。

<LEADERec7d,ec8d,ec7d,ec9b,ecaf>

<X1e>アクダム<X04>
卑怯だと !!
今まで このわし ひとりに ４人で
向かってきたのは 誰だ !!

きさまらに 卑怯呼ばわりされる
おぼえは ないわ。<WAIT>
いいな、必ずひとりで 来いよ !!

<X1c>アクダムはワプ２の呪文を唱えた。<X04>","<X1e>Achdam<X04>
Urrgh!! Every single time!
Well, I didn't have any further
use for that woman anyway.

<LEADERea9f,eac6,ea9f,eb09,eb2c>

<X1e>Achdam<X04>
Wah ha ha! Idiot!
Didn't you notice this girl here?

<LEADEReb51,eb85,eb51,eba9,ebdf>

<X1e>Achdam<X04>
Wah ha ha! I appreciate the
compliment.

But you know, we really can't keepgoing around and around like this
forever. Why don't we settle it
once and for all?

<LEADERec0d,ec27,ec0d,ec45,ec5f>

<X1e>Achdam<X04>
Now, now. It's no good to rush
these things.

If you want the princess back,
bring the Gilmoran Star to the
Lee Grotto.<WAIT>
Just you, Selios. Naturally.

<LEADERec7d,ec8d,ec7d,ec9b,ecaf>

<X1e>Achdam<X04>
Look who's talking! It's been
four against one, every time!!

You've never seen me call you
a coward.<WAIT>
Whatever. Remember, come alone.

<X1c>Achdam casts the spell of Warp2.<X04>"
"ea9f","アクダム !!
今度こそは 逃がさないぞ !!<RET_IL>","Achdam!!
You won't get away this time!<RET_IL>"
"eac6","アクダム !!
あなたの 悪運も これまで
かんねんして もらいましょう。<RET_IL>","Achdam!!
Your time is up. Prepare yourself!<RET_IL>"
"eb09","アクダム !! もう 逃がしゃしねぇ !!<RET_IL>","This is it, Achdam!! No more
runnin'!<RET_IL>"
"eb2c","アクダム !!
もう 逃げられませんよ !!<RET_IL>","Achdam!!
We won't let you get away again!<RET_IL>"
"eb51","あっ !! ひょっとして ディーナ姫 !!ウクゥ、卑怯な !!<RET_IL>","Is that... Princess Dina?!
Ugh! You coward!<RET_IL>"
"eb85","あっ !! ディーナ姫 !!
ひ、卑怯な !!<RET_IL>","That's... Princess Dina!!
What cowardice!<RET_IL>"
"eba9","あっ !! ひょっとして ディーナ姫 !!てめえ !! 卑怯な !!<RET_IL>","That's gotta be Princess Dina!
You rotten, stinking coward!!<RET_IL>"
"ebdf","あっ !! ひょっとして ディーナ姫 !!ひ、卑怯 !!<RET_IL>","Is that... Princess Dina?!
You coward!<RET_IL>"
