"*","Rudra - Chapter 4"
"e153","<X1e>賢者<X04>
わしは 多くの人に 呪文を
教えるためにおる。<X0d>","<X1e>Sage<X04>
I am here to teach spells to as
many people as I can.<X0d>"
"e186","<X08>どの 呪文を 書き込むかね？<RETN>","<X08>Which spell do you want?<RETN>"
"e1a2","誰の 呪文の書に 書き込むかね？<RETN>","Whose spellbook should I
scribe it in?<RETN>"
"e1c1","どこに 書き込むかね？<RETN>","Where should I scribe it?<RETN>"
"e1d7","では、書き込むとしよう。<X0a>","Okay, I'll scribe it.<X0a>"
"e1fe","また、必要になったら
いつでも 来なさい。","Should you have any further needs,you may always come to me."
"e24c","<X1e>武器屋<X04>
プラチナの剣は いいよー。
この光具合を 見てみなよ。

<RET_IL>","<X1e>Weapon merchant<X04>
Platinum Swords are amazing!
Just look at how the light hits
them!"
"e28a","まいど。","Thanks."
"e2bd","<X1e>道具屋<X04>
へい、らっしゃい。道具屋だよ。
売るのかい 買うのかい？<RETN>","<X1e>Tool merchant<X04>
C'mon in! This is a tool shop.
You buyin' or sellin'?"
"e2fd","よろしく。","Much appreciated!"
"e313","あんたら もう持てねーじゃん。

<RET_IL>","Not much room for it there.

<RET_IL>"
"e332","どれを買うね？
<RETN>","What are you buyin'?
<RETN>"
"e342","<X0e>だね。
まいどあり。

<RET_IL>","The <X0e>?
Thanks!

<RET_IL>"
"e360","どれを 売るね？
<RETN>","What are you sellin'?
<RETN>"
"e371"," Gold になるけど
いいかい？
<RETN>","gold.
How's that?
<RETN>"
"e38e","そうか しかたねーな。

<RETN>","Too bad.

<RETN>"
"e3a5","まいどあり。
<RETN>","Thanks!
<RETN>"
"e4c1","<CALLf003><IF0406><JUMPeaa9><IF01aa><JUMPe7fc><LOCe4d0><CALLee15>ぼくは 発明家のハリーだ。
<IF_NOT0172><JUMPe7ec><SET0193>今 研究しているのは 人が乗って
操作できる 大きな凧なんだ。

カザミの塔から 西へ飛んで
バズヌーンの城を越えて ちょうど
国境の洞窟の 入口辺りまで
飛びたいと 思っているんだよ。

でも この前の実験で 飛んだ時には
バズヌーンの城の手前で 急に布が
破れちゃって バズヌーンの城まで
たどりつけなかったんだ。

設計上は 完璧だったんだが、
布の強度がどうしても足りないんだ。

強い布を使うと 目が粗くて風が通り
抜けてしまうし、風の通り抜けない
布を使うと 破れてしまう。
いったい どうすれば いいんだ ･ ･ ･

こいつが 完成すれば、バズヌーンの
城なんか 軽く 飛び越すことが
できるんだけどな。

<CH0>
バズヌーン ･ ･ ･
本当に 飛び越せるのかい？

じゃあ それを使えば 屋上に
降りることが できるかもしれないぞ。その凧を 貸してくれないかな ？

<CALLf003>だから 完成したらの話だって
言ってるじゃないか。<LOCe7ec>","<CALLf003><IF0406><JUMPeaa9><IF01aa><JUMPe7fc><LOCe4d0><CALLee15>I'm Harry the inventor.
<IF_NOT0172><JUMPe7ec><SET0193>I've been working on a big kite
that people can ride and control.

I want to fly it west from the
Vane Tower, right over the top of
Vasnune Castle, and all the way tothe Border Cave.

But in my experiments so far, the
cloth gets ripped up before I can
even make it as far as the castle.

I know the design is flawless!
It's just that the cloth isn't
strong enough.

The wind passes right through a
stronger, coarse cloth! But a
finer cloth that catches the wind
gets ripped up! What a dilemma...

But if I can finish this, I'll be
able to soar easily over Vasnune
Castle.

<CH0>
Vasnune... 
Will it really go over the castle?

We might be able to land on the
roof if we used that! I wonder if
we could borrow that kite?

<CALLf003>I did say that I still need to
finish it!<LOCe7ec>"
"e7fc","<IF0194><JUMPe93b><ASMe7ed><IF019a><JUMPe4d0><CALLee15><CH0>
ハリーさん、
カウルの村の ボイルさんの所の
<CALLf00c>が 卵を 生んだんです。

ボイルさんは これで<CALLf00c>の布が
作れるって 大喜びしてるんですけど
なんか気になりませんか？

<CALLf003><CALLf00c>の布ねぇ。
聞いたことが ないな。

あっ ! あの本なら 書いてあるかも
しれない、ちょっと 待ってくれよ
調べてみるから。<SET0405>","<IF0194><JUMPe93b><ASMe7ed><IF019a><JUMPe4d0><CALLee15><CH0>
Hey, Harry. In the village of
Caur, one of Boyle's dragons has
laid an egg.

Boyle's happy because he can make
dragon cloth with it. Does that
mean anything to you?

<CALLf003>Dragon cloth, huh? I've never
heard of it.

Oh, maybe there's something about
it in that one book. Just a 
second; let me check.<SET0405>"
"e93b","<IF0407><JUMPea7f><SET0195>どうでした、<CALLf00c>の布は
分けてもらえましたか ？

あの本によると <CALLf00c>が卵を生む
直前には １千万 Gold にも 値が
上がるって 書いてありましたよ。

それが いったん 生まれると
たいりょうに 作れるので
100 Gold ぐらいまで
値下がりするそうです。

だから たとえ <CALLf00c>の布が
出来ても そう簡単には
分けてくれないと 思いますよ。","<IF0407><JUMPea7f><SET0195>How'd it go? Is he going to share
any dragon cloth?

According to the book, the price
right before a dragon lays can go
as high as 10 million gold.

But once a dragon is born, new
cloth can be produced quickly, andthe price drops to around 100
gold.

So even if he can make this cloth,I don't think he'll share it
readily."
"ea7f","多分 分けては もらえないと
思いますよ。","I really don't think he's likely
to share that cloth."
