"*","Rudra - Chapter 4 (after dragon hatching scene)"
"e122","<X1e>賢者<X04>
わしは 多くの人に 呪文を
教えるためにおる。<X0d>","<X1e>Sage<X04>
I am here to teach spells to as
many people as I can.<X0d>"
"e155","<X08>どの 呪文を 書き込むかね？<RETN>","<X08>Which spell do you want?<RETN>"
"e171","誰の 呪文の書に 書き込むかね？<RETN>","Whose spellbook should I
scribe it in?<RETN>"
"e190","どこに 書き込むかね？<RETN>","Where should I scribe it?<RETN>"
"e1a6","では、書き込むとしよう。<X0a>","Okay, I'll scribe it.<X0a>"
"e1cd","また、必要になったら
いつでも 来なさい。","Should you have any further needs,you may always come to me."
"e21b","<X1e>武器屋<X04>
プラチナの剣は いいよー。
この光具合を 見てみなよ。

<RET_IL>","<X1e>Weapon merchant<X04>
Platinum Swords are amazing!
Just look at how the light hits
them!"
"e259","まいど。","Thanks."
"e28c","<X1e>道具屋<X04>
へい、らっしゃい。道具屋だよ。
売るのかい 買うのかい？<RETN>","<X1e>Tool merchant<X04>
C'mon in! This is a tool shop.
You buyin' or sellin'?"
"e2cc","よろしく。","Much appreciated!"
"e2e2","あんたら もう持てねーじゃん。

<RET_IL>","Not much room for it there.

<RET_IL>"
"e301","どれを買うね？
<RETN>","What are you buyin'?
<RETN>"
"e311","<X0e>だね。
まいどあり。

<RET_IL>","The <X0e>?
Thanks!

<RET_IL>"
"e32f","どれを 売るね？
<RETN>","What are you sellin'?
<RETN>"
"e340"," Gold になるけど
いいかい？
<RETN>","gold.
How's that?
<RETN>"
"e35d","そうか しかたねーな。

<RETN>","Too bad.

<RETN>"
"e374","まいどあり。
<RETN>","Thanks!
<RETN>"
