"*","Caur - Chapter 4"
"e0d7","<X1e>道具屋<X04>
いらっしゃい。
どんな 用だね？<RETN>","<X1e>Tool merchant<X04>
Welcome!
What are you here for?<RETN>"
"e0ff","また来てくれよ。","Come again!"
"e11b","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e13f","どれを買うんだね？
<RETN>","What are you buyin'?
<RETN>"
"e153","<X0e>だね。
ありがとう。

<RET_IL>","The <X0e>?
Thanks.

<RET_IL>"
"e171","どれを 売るんだね？
<RETN>","What're you sellin'?
<RETN>"
"e186"," Gold になるけど
それでも いいかい？
<RETN>"," gold.
That okay?"
"e1ac","そうか ･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e1be","ありがとう。
<RETN>","Thanks.
<RETN>"
"e342","<X1e>ボイル<X04>
<IF0403><JUMPe5e8><IF0194><JUMPe4bb><IF01a0><JUMPe3a6>な、なんだね あんたたち !!
見ず知らずの 人の家に 勝手に
入ってきて !!<SET01a9><END>
<LOCe3a6><IF01a6><JUMPe4bb><SET01a6>やあ、あんたたち クレアさまの
お使い なんだってな。

<IF_NOT01a9><JUMPe417>さっきは 冷たいことを 言って
すまなかったな。

<LOCe417>おれは このドラゴン牧場のあるじの
ボイルと いうもんだ。

この辺の ドラゴンは １００年に
１度しか 卵を 生まないんだが
うちのドラゴンが 卵を 生<IF01a8><JUMPe51c>みそう
なんだぜ。<END>
<LOCe4bb><IF01a8><JUMPe4db>早く、卵を 生まないかな。<END>
<LOCe4db>やあ、あんたたちか。
聞いてくれ、うちのドラゴンが
やっと、卵を 生<LOCe51c>んだんだぜ。

これで、ドラゴンの布が 作れるぜ。

<CH0>
ドラゴンの布 ？<WAIT>
ドラゴンの布って なんですか？

<X1e>ボイル<X04>
なんだ あんたたち 知らないのか。<WAIT>
そうか、知らないのか。<WAIT>
ドラゴンの布ってのはな、

内緒だ。ハハハ<SET01aa><END>
<LOCe5e8><CLEAR0403>あんたがた 他人の持ち物を
勝手に のぞくなよな。","<X1e>Boyle<X04>
<IF0403><JUMPe5e8><IF0194><JUMPe4bb><IF01a0><JUMPe3a6>What are you thinking?!
Just walking into some complete
stranger's house!<SET01a9><END>
<LOCe3a6><IF01a6><JUMPe4bb><SET01a6>Ah, so you're messengers from
Queen Claire?

<IF_NOT01a9><JUMPe417>Sorry for being so curt earlier.

<LOCe417>The name's Boyle. I'm a dragon
rancher.

Dragons in these parts only lay
once every hundred years. But mine<IF01a8><JUMPe51c>look like they're due.<END>
<LOCe4bb><IF01a8><JUMPe4db>Wonder when I'll get that egg.<END>
<LOCe4db>Ah, hello again.
Listen! At long last, my dragons
<LOCe51c>have laid an egg.

That means I can make dragoncloth.

<CH0>
Dragoncloth?<WAIT>
What's that?

<X1e>Boyle<X04>
What, you mean you don't know?<WAIT>
You really don't know?<WAIT>
Well, dragoncloth is...

...my secret. Ha ha ha!<SET01aa><END>
<LOCe5e8><CLEAR0403>Don't go peeping at other people'sstuff!!"
