"*","Caur - Chapter 4 (after egg spawns)"
"e118","<X1e>道具屋<X04>
いらっしゃい。
どんな 用だね？<RETN>","<X1e>Tool merchant<X04>
Welcome!
What are you here for?<RETN>"
"e140","また来てくれよ。","Come again!"
"e15c","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e180","どれを買うんだね？
<RETN>","What are you buyin'?
<RETN>"
"e194","<X0e>だね。
ありがとう。

<RET_IL>","The <X0e>?
Thanks.

<RET_IL>"
"e1b2","どれを 売るんだね？
<RETN>","What're you sellin'?
<RETN>"
"e1c7"," Gold になるけど
それでも いいかい？
<RETN>"," gold.
That okay?"
"e1ed","そうか ･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e1ff","ありがとう。
<RETN>","Thanks.
<RETN>"
"e429","<X1e>ボイル<X04>
<IF01a4><JUMPe953><IF01ab><JUMPe6db><IF0194><JUMPe444><LOCe444>なに !! ドラゴンの布を 分けてくれ
だって !! 冗談じゃねぇ !!
いったい今いくらすると思ってるんだ

<IF0195><JUMPe510>１５００万 Gold だぜ、
１５００万 !!

<CH3>
せ、１５００万 !!

<X1e>ボイル<X04>
あんたたち 金は あるんだろうな !!<JUMPe5b0><LOCe510><CH3>
１千万 Gold ぐらいだろ。

<X1e>ボイル<X04>
いんや !! １５００万だ !! でも
高いってことは わかってるんだ。
ということは、お客さんだね。

ところで、金はあるんだろうな !!<LOCe5b0>

<CH1>
そんな大金 あるわけが ありません。しかし、この国を 救うためには
どうしても 必要なんです。

<X1e>ボイル<X04>
へん、正義の味方 みたいなこと
言っちゃって。おれには関係ねーな。

金が ねーんなら やれねぇ !!
さーて、卵のようすでも 見にいくか。あんたたちも 一緒に 来るかい。
卵を見るだけなら 金はいらねーよ。<SET0404><END>
<LOCe6db><SET01a4>た、大変だ !!<WAIT>
ド、ドラゴンの卵が なくなってる !!

<CH3>
な、なんだって !!
こいつは、きっとアクダムの仕業に
違いねーぜ !!

<CH0>
うーん、アクダムめ、どうしても
ぼくたちと戦いたくないみたいだな。

<CH1>
王子さま、私は アクダムの仕業では
ないような気が するのですが ･ ･ ･。

<CH2>
ええ、私も そんな気がするわ。

<CH3>
なんでだよ !! こんなことするのは
あいつぐれーしか、いねーじゃねーか

<CH1>
なんでと 言われても 困りますが、
ただ、そんな気が するのです。

<CH2>
私も ･ ･ ･。

<X1e>ボイル<X04>
あ、あんたたち !!
お、お願いだ !!
いや、お願いします。

ド、ドラゴンの卵を 見つけ出して
ください。
あの卵さえ あれば ドラゴンの布
なんて いくらでも 作れるんだ !!

そ、そうだ !!
<LOCe953>おれんちの 宝箱に ドラゴンの布の
最後の一枚が しまってあるんだ。

卵を見つけ出してくれたら あいつを
あんたたちに やるからさ。
た、頼んだぜ。必ず ドラゴンの卵を
見つけ出してくれよ !!","<X1e>Boyle<X04>
<IF01a4><JUMPe953><IF01ab><JUMPe6db><IF0194><JUMPe444><LOCe444>What?! You want some of my
dragon cloth?! You're joking!
Don't you know what it's worth?

<IF0195><JUMPe510>Fifteen million gold!
Fifteen million!!

<CH3>
F-Fifteen... million?!

<X1e>Boyle<X04>
I sure hope you all are rich!<JUMPe5b0><LOCe510><CH3>
Somethin' like 10 mil?

<X1e>Boyle<X04>
Nope! It's 15 million! But at
least you know it's valuable.
Maybe we can do business.

But I sure hope you're rich!<LOCe5b0>

<CH1>
We certainly can't afford such a
high price. But we need it for thegood of the kingdom.

<X1e>Boyle<X04>
Ha! Some kind of heroes, are you?
Well, that's not my line of work.

No money, no cloth!
But, maybe you'd like to go check
on the egg with me? I won't chargeyou just to look!<SET0404><END>
<LOCe6db><SET01a4>W-What?! No way!<WAIT>
The dragon egg! It's gone!!

<CH3>
W-What?!
That sleaze Achdam musta been
here!

<CH0>
Achdam! He'll stop at nothing to
avoid a fair fight!

<CH1>
Your Highness. I suspect that thismay not have been Achdam's work.

<CH2>
Yeah, I don't think so either.

<CH3>
What're y'all on about?! Who else
would stoop to this?!

<CH1>
Difficult to say, but it still
seems unlikely to me.

<CH2>
Right.

<X1e>Boyle<X04>
You have to help me!!
I mean... please! Help me!

Please find my dragon egg.
Just find the egg, and I'll make
you all the dragon cloth you want!

Or... even better!
<LOCe953>The last of my leftover dragon
cloth is in that box back there.

Find my egg, and you can have it!
P-Please. You have to find it!!"
