*,Richelle (Chapter 6?),
e22c,"<X1e>武器屋<X04>
いらっしゃいませ。
ここは武器と防具の店ですが<RETN>","<X1e>Weapon merchant<X04>
Welcome! My shop sells weapons
and armor."
e263,また来てくださいね。,Come again!
e2a1,"<X1e>道具屋<X04>
いらっしゃいませ。
ここは 道具の店ですが
どんな ご用ですか？<RETN>","<X1e>Tool Merchant<X04>
Welcome!
This is a tool shop.
What would you like?<RETN>"
e2e7,また来てくださいね。,Come again!
e307,"おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
e32b,"どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
e345,"<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
e36a,"どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
e385," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
e3b1,"それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
e3ca,"どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
e4ce,"<X1e>ホール<X04>
<IF01b0><JUMPe60b><SET01b0>あ 坊ちゃん 待ってたんですよ。
<PAGE>
さっき 大盗賊 ゲイルさまから
坊ちゃんも一緒に ジャグリに
連れていけって 言われたんですよ。

この船がそうです。
大盗賊 ゲイルさまが わざわざ
ジャックの兄きのために
借りてくれたんですよ。

早く乗ってくださいよ。
あまり遅くなると ジャックの兄きに
怒られちゃいますからね。<END>
<LOCe60b>坊ちゃん
もう いいかげんに してくださいよ。

そんなに おれが 兄きに怒られるのを見たいんですか？
早く乗ってくださいよ。","<X1e>Hall<X04>
<IF01b0><JUMPe60b><SET01b0>Hey, l'il boss! I've been waitin'.
<PAGE>
The boss told me earlier that
you'd be comin' along to Jagri.

See this boat? He rented it just
to bring Jack home.

Hurry up and get on board! Jack'llbe mad if we're slow.<END>
<LOCe60b>I wish ya wouldn't keep screwin'
around, l'il boss.

Do ya wanna see Jack get mad at
me? C'mon, get on board!"
e681,"<X1e>男<X04>
ラヌーラから来た ジェルマンって
いう奴から 金を ごっそりと
スッてやったぜ。","<X1e>Man<X04>
I got a bunch of money off some
guy called Jelman from Lanoura."
e6d2,"<X1e>男<X04>
なぜか わからないんですが
ジェルマンという人が お金を
たくさん おいていったんです。

私は この娘は 奴隷ではないと
言い張ったのですが ちゃんと調べて
あるから ウソをつくなと言って
無理やり お金をおいていったんです。

多分 この娘を 女奴隷と
間違えたんでしょう。

確かに 奴隷商人から 助けて
あげるために 買ったには
違いないんですから。

でも 私は この娘を奴隷として
使ったことなんか 一度も無いんです。それどころか 今度結婚することに
なっていたんですから。

でもまあ 私の長年の夢だったお店を
ただで 始められることに なったし
こんなにすてきな娘とは結婚できるし本当に私は 幸せ者です。<IF0408><JUMPe920><IF0409><JUMPe920><END>
<LOCe920><SET0400>

そんなことより あなたたち
私の家で 休んでいきなさい。","<X1e>Man<X04>
I don't know why, but a man named
Jelman insisted on leaving a lot
of money with me.

I tried to tell him that this girlisn't a slave, but he told me he'ddone his research, and I shouldn'tlie.

He must have mistaken her for a
slave girl, I suppose.

It's true that I did save her fromthat slave merchant, of course.

But I've never once treated her asa slave! Far from it! I'm going tobe marrying her!

Marrying an amazing girl like her,and getting the shop I've always
dreamed of for free... I'm the
luckiest guy in the world!<IF0408><JUMPe920><IF0409><JUMPe920><END>
<LOCe920><SET0400>

Anyway, why don't you all have
a rest here?"
e95a,"<X1e>男<X04>
漁師のトーマスさんは
神父になって 悩める人々を
救うと言っていたぞ。","<X1e>Man<X04>
Thomas, the fisherman, said he's
going to become a priest and help
the troubled."
