"*","Nasulle"
"e14e","<X08>どの 呪文が 欲しいのじゃな？<RETN>","<X08>Which spell do you wish?<RETN>"
"e16c","誰の 呪文の書に 書き込むのじゃな？<RET_IL>","Into whose spellbook shall I
scribe it?<RETN>"
"e18f","どこに 書き込むのじゃな？<RETN>","Where shall I scribe it?<RETN>"
"e1a9","どれどれ、書き込むとしようか。<X0a>","Do you wish me to scribe anything
more?<X0a>"
"e1de","また、必要になったら
いつでも 来るがよい。
悪用だけは せんようにな。","Should you have any further needs,you may always come to me."
"e241","<X1e>武器屋<X04>
いらっしゃいませ。
ここは武器と防具の店ですが<RETN>","<X1e>Weapon merchant<X04>
Welcome! My shop sells weapons
and armor."
"e278","また来てくださいね。","Come again!"
"e2b8","<X1e>道具屋<X04>
いらっしゃいませ。
ここは 道具の店ですが
どんな ご用ですか？<RETN>","<X1e>Tool Merchant<X04>
Welcome! This is a tool shop.
What would you like?<RETN>"
"e2fe","また来てくださいね。","Come again!"
"e31e","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e342","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e35c","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e381","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e39c"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e3c8","それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e3e1","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e504","<X1e>男<X04>
うーん どうしよう。<WAIT>
貯金を 全部おろせば 買えるかな。<WAIT>
でもなー ちょっと高いよなー。","<X1e>Man<X04>
Hmm, what to do?<WAIT>
I could withdraw all my savings...<WAIT>
But, then again, at that price..."
"e55c","<X1e>男<X04>
<IF01f0><JUMPe62b>ファエトの村に 行った時に 頭が
おかしいみたいな考古学者に
会ったんだ。

そいつは 何かを なくしたらしくて
変なことを 言いながら 一生けんめい探していたよ。おれは 無視して
さっさと 帰ってきたけどね。<END>
<LOCe62b>おお あんたが ゲイル３世だろ？
聞いたぜ あのバケモノを
退治してくれたんだってな。","<X1e>Man<X04>
<IF01f0><JUMPe62b>I met a nutty archaeologist when
I went out to the village of Faet.

He was muttering weird things
and looking everywhere for
something or other he'd lost.
I came home as soon as I could.<END>
<LOCe62b>Oh, you're Gail the 3rd?
I heard about you getting rid of
those monsters."
