"*","Fangath?"
"e1fa","<X1e>盗賊<X04>
お坊っちゃん ここは ワプ屋です。<RETN>","<X1e>Thief<X04>
Hey, l'il boss! I got a warp
wing shop here.<RETN>"
"e23d","<X1e>盗賊<X04>
お坊っちゃん ダイヤシリーズは
ぜひとも そろえてください。

<RET_IL>","<X1e>Thief<X04>
Did ya get the whole Diamond
set yet, l'il boss?"
"e284","また いつでも来てくだせえ。","Come again!"
"e2ca","これ以上 持てないようですぜ。

<RET_IL>","You can't carry no more.

<RET_IL>"
"e2e9","何が必要ですかい？
<RETN>","What're ya lookin' for?
<RETN>"
"e2fd","<X0e>ですね
はいはい どうぞ。

<RET_IL>","The <X0e>?
Here ya go!

<RET_IL>"
"e3df","<CH3>
なあ おれ ここで 待ってるから
お前ら 行ってこいよ。

<CH0>
どうしたんだ ゲイル？

<CH3>
いや この町には 会いたくない奴が
いるんだ。
だから ここで待ってるよ。

ディーナ姫は 多分 この奥の屋敷に
いるはずだ。

<CH0>
どうして 知ってるんだ？
この町のことを 知っているんなら
一緒に来てくれよ。

<CH3>
うーん<WAIT>
しかたない ディーナ姫のためだ。
よし みんな ついてこい。<ASMe2a0>","<CH3>
I'll wait here. Y'all go on ahead.

<CH0>
What's the matter, Gail?

<CH3>
Nothin'! There's just folks here
I don't wanna run into. I'll
just wait here.

Princess Dina's probably in that
mansion in the back.

<CH0>
How do you know?
If you know this town, you should
come with us.

<CH3>
Ugh... dammit!<WAIT>
It's for Princess Dina.
All right, c'mon.<ASMe2a0>"
"e53a","<IF01e3><JUMPe6f5><SET01e3><X1e>盗賊<X04>
おや ゲイル坊ちゃんじゃ？
おれですよ、昔 遊び友達だった
ホールですよ。

<CH3>
ああ あの泣き虫 ホールか。
ここの連中は みんな 似たような
顔してるから 気がつかなかったぜ。

お前なー 坊ちゃんは やめろって
何度 言ったら わかるんだ。

<X1e>ホール<X04>
えっ でも
坊ちゃんは 坊ちゃんですよ。

今まで どうしていたんですか？
突然 いなくなっちゃって。

<CH3>
んっ、まあ そんなことより
みんな元気か？

<X1e>ホール<X04>
ええ、おかげさまで。

あっ そういえば あいつ
<JUMPe6fe><LOCe6f5><X1e>ホール<X04>
<LOCe6fe>コルクスの町のハンスが この国の
大統領に なっちゃったんですよ。
笑っちゃいますよね。

<IF_NOT01e4><JUMPe7f0>えっ 黄金のカードですか？
あれは すごく高く売れましたよ。
買ったのは コルクスの町に
いる奴ですよ。

前に コルクスの町に いるのを
見たことがあるんです。

<LOCe7f0><IF01e7><JUMPe8d0>ところで 坊ちゃん 眠り草って
人気ないんですかね？
<IF01ea><JUMPe854>今、眠り草を 売ってるんですけど
<SET01ea><JUMPe85d><LOCe854>あれから <LOCe85d>１個も 売れないんですよ。<IF01f2><JUMPe87d><END>
<LOCe87d>

<SET01e7><CH3>
そういや、コルクスに 不眠症で
困ってる奴が いたな。
ホール、眠り草を くれ。

<LOCe8d0><X1e>ホール<X04>
眠り草ですね、坊ちゃん。
どうせ 売れないんだから
ただで あげますよ。

<ASMe95d><IF0402><JUMPe946>坊ちゃん 持てないようですよ。
<END>
<LOCe946><X0e><X1c>をもらいました。<X0c0301><X04>","<IF01e3><JUMPe6f5><SET01e3><X1e>Thief<X04>
L'il Gail? That you?
's me! Yer ol' buddy Hall!

<CH3>
Oh! Crybaby Hall? Didn't recognizeya, with ya scowlin' like the resto' these thugs.

And haven't I told ya over an'
over ta quit callin' me ""l'il""?

<X1e>Hall<X04>
Oh... but you are the l'il boss!
Ain't ya, l'il boss?

What've you been up to, after ya
disappeared all of a sudden?

<CH3>
Oh, this an' that.
What about here? Everyone doin'
okay?

<X1e>Hall<X04>
Yup, thankfully.

Oh! Did ya hear?
<JUMPe6fe><LOCe6f5><X1e>Hall<X04>
<LOCe6fe>Hans, out in Colx, is our
President now! Ain't that
hilarious?

<IF_NOT01e4><JUMPe7f0>Oh, the Golden Card? I sure made
a steal on that! Sold it to some
guy in Colx.

I've seen the guy around Colx
before.

<LOCe7f0><IF01e7><JUMPe8d0>By the way, l'il boss. Wouldn't
ya think Sleepweed'd be in demand?<IF01ea><JUMPe854>I'm tryin' to sell it now, but I
haven't made a single sale yet.<SET01ea><JUMPe85d><LOCe854>I still haven't made a single
sale.<LOCe85d><IF01f2><JUMPe87d><END>

<LOCe87d>

<SET01e7><CH3>
We did run into that insomniac in
Colx, didn't we? Hey, Hall, I'll
take a Sleepweed.

<LOCe8d0><X1e>Hall<X04>
Sure thing, l'il boss!
Since the stuff doesn't sell, I'llgive it to you on the house.

<ASMe95d><IF0402><JUMPe946>But it doesn't look like you've
got space for it.<END>
<LOCe946><X1c>Received <X04><X0e><X1c>.<X0c0301><X04>"
"e975","<X1e>盗賊<X04>
<SET01e4>さっきまで バザールで 金色の
カードを 売ってたんだ。

それが すごく きれいだったから
急いで 金を 取りに行ったんだ。
で 戻ってみると その間に
もう売れちまったんだと。

失敗したよ ホールに 言って
予約しておけば よかったんだよな。","<X1e>Thief<X04>
<SET01e4>Saw a Golden Card for sale at the
Bazaar a while back.

It was awful pretty, so I ran to
grab some money. But by the time
I got back, it'd already sold.

Guess I screwed up. Shoulda asked
Hall to hold it for me, I s'pose."
"ea61","<X1e>盗賊<X04>
あっ お坊ちゃん。やっと 親分の後を継ぐことに なったそうですね？
期待してますぜ ３代目。","<X1e>Thief<X04>
I hear ya finally agreed ta take
over here, l'il boss! 
I'm ready for the ""Third"" era!"
"eac0","<X1e>盗賊<X04>
あ、坊ちゃん。
また こいつの ホラ話が
始まっちゃいましたよ。

こいつが １番弟子のわけ
ないですよね。","<X1e>Thief<X04>
Hey, l'il boss. This guy's makin'
up stories again.

Ain't no way a loser like him's
anyone's best student."
