e1a5,"<X1e>盗賊<X04>
お坊っちゃん ここは ワプ屋です。<RETN>"
e1e8,"<X1e>盗賊<X04>
お坊っちゃん ダイヤシリーズは
ぜひとも そろえてください。

<RET_IL>"
e22f,また いつでも来てくだせえ。
e253,"これ以上 持てないようですぜ。

<RET_IL>"
e272,"どれが 必要ですかい？
<RETN>"
e289,"<X0e>ですね
はいはい どうぞ。

<RET_IL>"
e35f,"<X1e>ホール<X04>
<IF01e8><JUMPe3dc>あっ 坊ちゃん 大変ですよ。
大盗賊 ゲイルさまが ケガを
しちゃったんですよ。

早く 館に行ったほうが いいですよ。<END>
<LOCe3dc>眠り草ですね、坊ちゃん。
どうせ 売れないんだから
ただで あげますよ。

<ASMe45a><IF0402><JUMPe443>坊ちゃん 持てませんよ。
<END>
<LOCe443><X0e><X1c>をもらいました。<X0c0301><X04>"
e472,"<X1e>盗賊<X04>
<IF01e8><JUMPe4ca>お坊ちゃん
ゲイルさまが ケガを したんですよ。何を のんびりしてるんですか。<END>
<LOCe4ca>ゲイルさまの ケガは たいしたことがないそうですね？
よかったですね  お坊ちゃん。"
e51a,"<X1e>盗賊<X04>
あっ お坊ちゃん。やっと 親分の後を継ぐことに なったそうですね？
期待してますぜ ３代目。"
e579,"<X1e>盗賊<X04>
あ、坊ちゃん。
また こいつの ホラ話が
始まっちゃいましたよ。

水晶の塔に ５階なんか あるわけ
ないですよね。"
e5eb,"<X1e>盗賊<X04>
坊ちゃん ここには 手くせの
悪い奴が 多いですから
気をつけたほうが いいですよ。"
e641,"<X1e>盗賊<X04>
坊ちゃん、ダイヤの武器や防具は
もう 買いましたか？

この辺りには 火を使う バケモノは
いないから 十分 役にたつと
思いますよ。"
e6c4,"<X1e>盗賊<X04>
この間 ひとりで 水晶の塔に
行ったんですよ。

今まで あの塔は ４階までだと
思ってたんですけど 実は５階が
あったんですよ。

しかも、お宝どっさり でしたよ。<WAIT>
え？ その お宝は どうしたかって
おいらは、お宝は 沢山持ってるから
そのままにして おきましたよ。

ほ、ほんとですよ。"
e7d6,"<X1e>盗賊<X04>
この家は 昔 旅人の宿チェーンに
加盟していて、旅の勇者たちを泊めて高い宿代を 取っていたんです。

でも このごろは みんなワプを使って自分の家に 帰っちゃうから 旅人の
宿は はやらなくなって とうとう
つぶれちゃったんですよ。<IF0408><JUMPe8c2><IF_NOT0409><JUMPe920><LOCe8c2>

ずいぶん お疲れのようですね。
どうぞ お泊まりください。
もちろん お金なんか いりませんよ。<SET0400><LOCe920>"
e921,"<X1e>盗賊<X04>
これは ゲイル３世さま。
あまり外に 出歩かないでくださいよ。

あなたに もしものことが あったら
大変ですからね。"
e996,"<X1e>バーテン<X04>
坊ちゃん、申し訳ないんですが
武器を持った人には 酒は
出せないんですよ。

ハンスさんが 大統領になってから
法律が 変わったんですよ。
「飲むなら持つな、持つなら飲むな」ってね。"
ea4e,"<X1e>神父<X04>
ヒック おー 暇だ 暇だ ･ ･ ･
なんか おもしれえこと ねえのかよ。"
