"*","Colx (After Hans leaves)"
"e1db","<X1e>道具屋<X04>
いらっしゃいませ。
ここは 道具の店ですが
どんな ご用ですか？<RETN>","<X1e>Tool merchant<X04>
Welcome! This is a tool shop.
What would you like?<RETN>"
"e221","また来てくださいね。","Come again!"
"e241","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e265","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e27f","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e2a4","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e2bf"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e2eb","それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e304","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e497","<X1e>バケモノ<X04>
お前らだな おれたちの 邪魔を
していると いうのは。

丁度いい。お前らを 片づけて
宝石を頂こうか。","<X1e>Monster<X04>
You! You're the ones interfering!

This is perfect. We'll wipe you
out and take the gems."
