"*","Colx (After rescuing Hans)"
"e1a9","<X1e>道具屋<X04>
いらっしゃいませ。
ここは 道具の店ですが
どんな ご用ですか？<RETN>","<X1e>Tool merchant<X04>
Welcome! This is a tool shop.
What would you like?<RETN>"
"e1ef","また来てくださいね。","Come again!"
"e20f","おや？これ以上持てないようですね。

<RET_IL>","You can't carry any more.

<RET_IL>"
"e233","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e24d","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e272","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e28d"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e2b9","それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e2d2","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e398","<X1e>ハンス<X04>
<IF01f7><JUMPe8cb><IF01f6><JUMPe7fe><SET01f6>ゲイル 本当に助かったよ。
前にも 言ったけど この国の若い娘がさらわれてるって 言ったろ？

その原因が バケモノどもの ボス
バジールという奴の 仕業なんだ。
バジールは 若い娘の 生き血を
吸って生きているらしい。

一度 水晶の塔に 行く途中に
バジールに 会ったんだが
いくら攻撃しても 手ごたえが なく
幻を相手に戦っているようなんだ。

おそらく あれは バジールの幻体で
実体は 必ず 水晶の塔の どこかに
いると思ったんだ。

そこで 水晶の塔に行き バジールの
実体を 探していたら 塔の地下に
どうしても 開けられない 扉が
あったんだ。

きっと その中に 何かが
あるんじゃないかと思うんだ。
ゲイル お前だったら簡単に あの扉を開けられるだろう。

兵士たちの 準備ができたら 一緒に
水晶の塔に 行ってくれないか？

<CH3>
ハンス お前の言いてえことは
わかったけど もう あんまり
でしゃばるなよ。

お前の代わりに おれたちが
そのバジールって バケモノを
倒してきてやるよ。

なんてったって おれたちは
最強メンバーなんだぜ。
なあ セリオス？

<CH0>
うん そうだよ ハンス大統領。
ぼくたちに まかせてよ。

<X1e>ハンス<X04>
そうかなぁ。

ま どっちにしても おれや兵士たちはもう少し 休まなければ ＨＰが
回復しないからな。
じゃ ちょうど いい 頼むぜ ゲイル。

あっ そうそう
<LOCe7fe>水晶の塔にいた バケモノを倒したら
こんな物が出てきたんだ。

<ASMe907><IF01f7><JUMPe877>持ち物を なんとかしろよ
そしたらお前に渡してやるよ。<END>
<LOCe877>お前に渡しとくよ あの塔と
関係があるかも しれないからな。

<X0e><X1c>を 受け取りました。<X0c0301><X04><END>
<LOCe8cb>早く バジールを倒してくれ。
こうしてる間にも 若い娘が ･ ･ ･","<X1e>Hans<X04>
<IF01f7><JUMPe8cb><IF01f6><JUMPe7fe><SET01f6>Thanks again, Gail. You remember
how I said that young women are
being kidnapped here?

It's the work of their leader, a
monster called Beziel. We think
this Beziel needs the blood of
young women to survive.

We ran into Beziel on the way to
the <CALL0002>. We couldn't landa blow on it. It was like fightinga ghost.

So I think it was a projection.
Which means the real Beziel must
be somewhere in the <CALL0002>.

We searched the <CALL0002> for
its real body. We found a door in
the basement that we couldn't openby any means.

There's got to be something behindthat door. Gail, I bet you could
open that door easy.

When the soldiers are prepared,
would you be willing to come to
the <CALL0002> with us?

<CH3>
Hans... I get what you're sayin',
but you've already gotten in the
way too much.

We'll go take care o' this Beziel
for you.

However ya look at it, we're the
best soldiers ya got. Right, 
Prince?

<CH0>
Yeah, he's right, <CALL0001> Hans.
We'll handle this for you.

<X1e>Hans<X04>
I suppose.

Well, regardless, my soldiers and
I will need rest to recover our
HP. So this works out.
I'll leave it to you, Gail.

Oh, by the way.
<LOCe7fe>We got this from the monsters we
defeated in the <CALL0002>.

<ASMe907><IF01f7><JUMPe877>Do something about your inventory,and I'll let you have it.<END>
<LOCe877>I'll let you have it. It may have
something to do with the spire.

<X1c>Received the <X04><X0e><X1c>.<X0c0301><X04><END>
<LOCe8cb>Please defeat Beziel soon!
Until you do, those young women..."
