"*","Colx (after going to Crystalspire with Ralph)"
"e1a2","<X1e>道具屋<X04>
いらっしゃいませ。
ここは 道具の店ですが
どんな ご用ですか？<RETN>","<X1e>Tool merchant<X04>
Welcome! This is a tool shop.
What would you like?<RETN>"
"e1e8","また来てくださいね。","Come again!"
"e208","おや？これ以上持てないようですね。

<RET_IL>","You can't carry any more.

<RET_IL>"
"e22c","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e246","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e26b","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e286"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e2b2","それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e2cb","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e399","<X1e>ラルフ<X04>
<IF01f8><JUMPe458>さっきも 見たように カギの役目を
するもので あの機械に 差し込めば
扉が開くように なっている。

<ASMe4df><IF01f8><JUMPe440>カードを お前に やるから
持ち物を なんとかしろ。<END>
<LOCe440><X0e><X1c>を もらいました。<X0c0301><X04>

<LOCe458><IF0209><JUMPe4a6><IF01ef><JUMPe485>３世 忘れるな 静かに歩くんだぞ。
<LOCe485>さあ 早く バジールを倒してこい。<END>
<LOCe4a6>おお それが例の 銀の筒だ !!
早く バジールを 倒してこい。","<X1e>Ralph<X04>
<IF01f8><JUMPe458>Just as you saw earlier, this actsas a key. If you insert it into
that device, the door will open.

<ASMe4df><IF01f8><JUMPe440>Do something about your bags, so Ican give you the Card.<END>
<LOCe440><X1c>Received the <X04><X0e><X1c>.<X0c0301><X04>

<LOCe458><IF0209><JUMPe4a6><IF01ef><JUMPe485>Remember, Third. Walk slowly!
<LOCe485>Now, hurry and defeat Beziel.<END>
<LOCe4a6>Yes, that's it! That's the silver
tube! Quickly, now! Defeat Beziel!"
"e4f2","<X1e>ハンス<X04>
ゲイル お前の親父さんには
しばらく ここに いてもらうから
心配するな。

必ず あのバジールを 倒してくれ。","<X1e>Hans<X04>
Don't worry, Gail. We'll see to
your dad for now.

You need to defeat Beziel!"
"e562","<X1e>兵士<X04>
危ないところを 助けていただいて
ありがとうございました。","<CALL0002>Thanks for getting us out of a
rough spot."
"e5a2","<X1e>兵士<X04>
我々の代わりに バジールを
倒してくれるんだって？
気をつけてくれよ。","<CALL0002>You're going to fight Beziel for
us? Be careful!"
"e5ed","<X1e>兵士<X04>
とにかく バジールには
気をつけてください。","<CALL0002>Don't let your guard down against
Beziel!"
