"*","Colx (Chapter 6)"
"e210","<X1e>賢者<X04>
わしは 非常に強力な呪文を
知っておる。そなたたちにも
教えてしんぜよう。<X0d>","<X1e>Sage<X04>
I know some very powerful spells.
Please allow me to teach them
to you.<X0d>"
"e25f","<X08>どの 呪文を 書き込むかね？<RETN>","<X08>Which spell do you wish?<RETN>"
"e27b","誰の 呪文の書に 書き込むかね？<RETN>","Into whose spellbook shall I
scribe it?<RETN>"
"e29a","どこに 書き込むかね？<RETN>","Where shall I scribe it?<RETN>"
"e2b0","では、書き込むとしよう。<X0a>","Do you wish me to scribe anything
more?<X0a>"
"e2d7","また、必要になったら
いつでも 来なさい。","Should you have any further needs,you may always come to me."
"e333","<X1e>道具屋<X04>
いらっしゃいませ。
ここは 道具の店ですが
どんな ご用ですか？<RETN>","<X1e>Tool merchant<X04>
Welcome! This is a tool shop.
What would you like?<RETN>"
"e379","また来てくださいね。","Come again!"
"e39a","おや？これ以上持てないようですね。

<RET_IL>","You don't have any room for it.

<RET_IL>"
"e3be","どれを買ってくれますか？
<RETN>","What would you like to buy?
<RETN>"
"e3d8","<X0e>だね。
どうも ありがとう。

<RET_IL>","The <X0e>?
Thank you very much!

<RET_IL>"
"e3fd","どれを 売ってくれますか？
<RETN>","What would you like to sell?
<RETN>"
"e418"," Gold になるけど
それでも よろしいですか？
<RETN>"," gold.
Will that be okay?"
"e444","それは残念です･･･ ･･･。

<RETN>","That's too bad...

<RETN>"
"e45d","どうも ありがとうございます。
<RETN>","Thank you very much.
<RETN>"
"e52b","<X1e>ハンス<X04>
ゲイル 本当に助かったよ。
これで 大統領を やめさせられなくてすむぜ。","<X1e>Hans<X04>
You really helped me out, Gail.
Now I won't get kicked out of the
Presidency!"
"e579","<X1e>兵士<X04>
これで この国も救われました。
ありがとうございました。","<X1e>Soldier<X04>
Even Moreston is saved!
Thank you for everything."
"e5b7","<X1e>兵士<X04>
よう、とうとう バジールを
倒したんだってな。","<X1e>Soldier<X04>
Were you able to defeat Beziel
in the end?"
"e5eb","<X1e>兵士<X04>
ずいぶん あっさりと バジールを
倒したんですね。","<X1e>Soldier<X04>
You really made quick work of
Baziel!"
"e622","<X1e>ジーラ<X04>
わしは 古くから伝わる伝説を
知っているのじゃ。
その伝説を 教えてやろう。

かつて この地上には 神々が住み
光の時代が続いておった。

しかし、ある日 突然
悪神アグニージャが 地上に現れ
地上は やみの光に包まれ、神々は
天空にお逃げになったのじゃ。

それから しばらくの間 暗黒の時代が続いたが やがて それも終わりを告げ天空に逃げた神々は 自分たちに
似た人を 地上においたのじゃ。

そして 神は人に アグニージャの
復活と 英雄の出現を 予言され
再び 地上に降りることは
なくなったのじゃ。

もう１つ 水晶の塔は 古代文明の
遺跡なのじゃ。","<X1e>Jira<X04>
Let me tell you a story from
ancient times.

Long ago, in the Age of Light,
the gods dwelt upon our world.

But there came a day when the
demon Agnija appeared. The world
was veiled in dark light, and the
gods fled into the heavens.

Yet the long and dreadful Age of
Darkness had its end as well.
And the departed gods put people
like themselves upon the earth.

They foretold that when Agnija
returns, heroes will appear,
and that devastation will never
again recur.

The Crystalspire is one remnant ofthat ancient civilization."
"e830","<X1e>男<X04>
やっぱり 人間にとって
一番大切なのは 睡眠だよな。<IF0408><JUMPe873><IF0409><JUMPe873><END>
<LOCe873><SET0400>

お前らも 寝てみろよ 頭が
すっきりするぞ。","<X1e>Man<X04>
Sleep really is people's most
important need.<IF0408><JUMPe873><IF0409><JUMPe873><END>
<LOCe873><SET0400>

Get some sleep! You'll feel much
better afterwards."
"e8a1","<X1e>男<X04>
なっ 頭がすっきりしただろ？","<X1e>Man<X04>
Well? Don't you feel better now?"
"e8c2","<X1e>男<X04>
あんたたち あのバケモノを
倒したんだってな。<ASMe963><IF0404><JUMPe91b>
本当にすごいな あんたたちは。<END>
<LOCe91b>

そのカードは あんたたちに あげるよおれや この国を 助けてくれたお礼だ。","<X1e>Man<X04>
You mean you defeated those
monsters?<ASMe963><IF0404><JUMPe91b> That's amazing!<END>
<LOCe91b>

You can keep that Card, then!
In return for saving the country."
"e97c","<X1e>補佐官<X04>
これで 大統領が 危険なことを
しなくなるから 安心しました。
","<X1e>Aide<X04>
I'm relieved that the President
can stop doing dangerous things."
"e9c1","<X1e>役人<X04>
大統領が帰ってきたら 仕事がへると
思ったのに 全然変わらないんだ。
今日も残業だよ。","<X1e>Clerk<X04>
I hoped with President Hans back,
there'd be less to do, but nothinghas changed! Overtime, again!"
"ea1b","<X1e>役人<X04>
ああ あの考古学者ですか。
あの方なら もう元気になって
ファエトに戻ると 言ってましたよ。","<X1e>Clerk<X04>
Oh, that archaeologist?
He's already recovered and gone
back to Fyte."
"ea7a","<X1e>役人<X04>
ふぅ ･ ･ ･ お役所仕事も 疲れるよ。こうやって 一日中 ボーっと
してなけりゃ ならないんだもんな。","<X1e>Clerk<X04>
Yawn... Bureaucracy is exhausting.I have to sit here just staring
at the wall all day."
"eae0","<X1e>役人<X04>
これで この国にも 平和が来たのね
本当に よかったわ。","<X1e>Clerk<X04>
I'm so glad that Moreston is at
peace now."
"eb1c","<X1e>女<X04>
道具屋さんで お野菜を売ってくれる
ように なったのは いいんだけど、

お大根が 一本 10 Gold っていうのは納得いかないわよね。","<X1e>Woman<X04>
It's great that I was able to sellmy vegetables at the tool
merchant.

But is 10 gold per radish really
an acceptable price?"
"eb9b","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。","<X1e>Priest<X04>
Please speak with me whenever
you are troubled."
