"*","Fayt (Chapter 6)"
"e2ea","<X1e>村長<X04>
また ラルフさんが
戻ってきてくれた おかげで
楽しい話が聞けて わしは満足じゃよ。","<X1e>Mayor<X04>
It's awful nice havin' Ralph here
again. His stories are so
interestin'."
"e341","<CALLefe0>昔はわしも 旅の勇者だったのじゃ。
いろいろな町で 困っている人々を
助けてあげていたのじゃ。

わしが もっと若かったら
バケモノなど ひとひねりじゃ
ふぉっ ふぉっ ふぉ ･ ･ ･","<CALLefe0>I used to be a traveling hero
m'self. Goin' from town to town,
helpin' people...

You can bet I'd have these
monsters handled if'n I was
younger! Ha ha!"
"e3ec","<CALLefe0><IF0407><JUMPe451>ウォホッホッ
うちの コロに吠えられとるの
ウォホッホッ。

これこれ コロ、静かにせんか。<SET0406><SET0407><END>
<LOCe451>ほれみろ、コロは わしの
言うことを よく きくじゃろう？<IF0408><JUMPe494><IF0409><JUMPe494><END>
<LOCe494><SET0400>

おお 疲れているようじゃな。
わしの家で 休んでいきなされ。","<CALLefe0><IF0407><JUMPe451>Oh-ho! Y'all've really got our
Fido makin' a racket!

Fido! Calm down, boy!<SET0406><SET0407><END>
<LOCe451>Look what a good boy Fido is!
He always listens to what I tell
him. Don't you, boy?<IF0408><JUMPe494><IF0409><JUMPe494><END>
<LOCe494><SET0400>

Y'all seem tired out. Go on, have
a rest at our place."
"e4d2","<CALLefe0>お前さんたち まさか 水晶の塔に
行くんじゃ なかろうな？

<CALLefe0>あの塔は 外から見ると キラキラと
<CH0>
もう あの塔に行っても 大丈夫だよ。

<CALLefe0>何 それは本当か？
それじゃ もう わしの役目も
終わってしまった ようじゃの。","<CALLefe0>Y'all're probably headin' for thatCrystalspire, ain't ya?

<CALLefe0>It looks all nice an' sparkly...
<CH0>
No, it's safe to go there now.

<X1e>Old man<X04>
What? Really?!
Well, guess there's no need for
me, then!"
"e5a4","<X1e>老婆<X04>
あんたがた ジーラばあさんには
会えたのか？","<X1e>Old woman<X04>
Did y'all meet Jira yet?"
"e5d6","<X1e>老婆<X04>
うちのコロは かわいくて かわいくて仕方がないんじゃ。","<X1e>Old woman<X04>
I can't help lovin' our Fido."
"e612","<CALLefd7><IF_NOT01d3><JUMPe621><IF03fc><JUMPee4e><LOCe621><IF023f><JUMPeabe><IF01d1><JUMPea93><IF01d2><JUMPea35><IF023b><JUMPe6b9>何 光の剣を 探しているのか
じいさんから 聞いたんだな？

おれも 光の剣はジャグリにあると
思うんだが ･ ･ ･
詳しいことは わからん。<END>
<LOCe6b9>どうした お前ら
光の剣は見つかったのか？

<CH3>
なあ おやじ この本 読めるか？

<ASMef97><SET01d2><X0e><X1c>を 渡しました。<X0c0301><X04>

<CALLefd7>んっ これは 古代の武器の本だぞ。
<WAIT>
おおっ !!<WAIT>
光の剣のことが のってるじゃないか。

光の剣ってのは レーザー光線という
物の応用だそうだ。

<CH1>
レーザー光線？

<CH3>
なんだよ そりゃ？

<CALLefd7>おれにも よく わからないが
古代にあった ものだろう。

で それは 赤い特殊な宝石を
ツカに はめることで できるそうだ。

<CH2>
ちょっと見せて。

ねえ このツカって どこかで
見たことない？

<CH0>
うーん 見たこと あるぞ。

<CH3>
ギルモアの里の教会にあったやつ
じゃねえか。

<CH1>
そうだ 教会にあった しょく台だ。

<CH1>
それじゃ まさか 赤い宝石というのは

<CH0>
ギルモアの涙と
<CH1>
ギルモアの星と いうわけじゃ？

<CALLefd7>そうだな 似てるな。

<IF_NOT0179><JUMPe9b7><SET01d1>お前たち その教会に行って
確かめてみろ もし これが 本当なら
すごいことだぞ。<END>
<LOCe9b7><CH0>
しまった ギルモアの涙は アクダムと戦った所に 捨ててきてしまった。

<CH3>
ばかだなー だから
素直に取っておきゃ よかったんだよ。<END>
<LOCea35>どうした まだ ギルモアの涙が
見つからないのか？<IF_NOT0179><JUMPeabd>

<SET01d1>なんだ やっと 取ってきたのか。
じゃあ<LOCea93>早く ギルモアの教会に行って
確かめてみろ。<LOCeabd><END>
<LOCeabe><SET01d3>なに やっぱり そうだったのか。

<CH3>
なあ おやじ。
光の剣を 手に入れたのは いいんだがアグニージャは どこに いるんだ？

<CALLefd7>そうなんだ。おれも はっきりとした
場所は 知らんのだ。

<CH1>
ラルフさん。
どんなことでも いいんです。

なにか手がかりに なりそうな ことを知っていたら 教えてください。

<CALLefd7>う〜ん ･ ･ ･ ･

まさかとは思うが 我々の住む地から
はるか遠く、世界の果てに
ニルギドと呼ばれる島があり
巨大な城が たっているんだ。

いったい 誰が いつ たてたのか
何者が ひそんでいるのか
そして 中には 何が あるのか
全てが 謎につつまれているんだ。

古代の財宝が 隠されているのではと
今まで 多くの者たちが 城の中に
侵入しようとした。

しかし 荒れ狂う海と けわしい山脈にはばまれ そこまで たどりついた者は誰ひとりとして いないのだ。

<IF03fc><JUMPee4e><CH3>
誰も行けねえ所にある城？
そりゃあ くせえな。

<CH1>
いかにも アグニージャが
ひそんで いそうな 場所ですな。

<CH0>
確かに、調べに行く 必要が あるな。

<CH2>
そうね。そのニルギドって所に
行ってみましょうよ。<END>
<LOCee4e>なに ニルギドに 行けたのか？
どんな所なんだ？

<X1c>ラルフは 荷物をまとめはじめました。<X04>

<CH3>
おやじ なにしてんだ？

<CALLefd7>決まってるだろ ニルギドに行くんだ。

<CH1>
ラルフさん。
あそこは 危険すぎます。
水晶の塔とは 比較には なりません。

<CH3>
おやじ いいかげんに しろよな !!
研究なんか 後で ゆっくりできるだろおれたちゃ それどころじゃ ねえんだ。","<CALLefd7><IF_NOT01d3><JUMPe621><IF03fc><JUMPee4e><LOCe621><IF023f><JUMPeabe><IF01d1><JUMPea93><IF01d2><JUMPea35><IF023b><JUMPe6b9>You're looking for a Sword of
Light? That you heard about from
your grandfather?

I also think it's in Jagri...
but I don't really know more than
that.<END>
<LOCe6b9>Well, have you found the Sword
of Light?

<CH3>
Hey, dad. Can you read this book?

<ASMef97><SET01d2><X1c>Handed over the <X04><X0e><X1c>.<X0c0301><X04>

<CALLefd7>Hmm. It's about ancient weapons.<WAIT>
...Aha!<WAIT>
Something about Swords of Light!

It says that a Sword of Light is
an application of laser beam
technology.

<CH1>
Laser beam?

<CH3>
Never heard o' it.

<CALLefd7>I don't know much either, but it
must be an ancient device.

It seems they were made by
fitting a particular red gem into
a haft.

<CH2>
Let me see that.

Hey, haven't we seen something
like that haft somewhere?

<CH0>
Yeah, it looks familiar.

<CH3>
In the Gilmore church, right?

<CH1>
You're right. The candlesticks.

<CH1>
And aren't those red gems...

<CH0>
The Gilmoran Tear...
<CH1>
...and the Gilmoran Star?

<CALLefd7>Yes, they do look similar.

<IF_NOT0179><JUMPe9b7><SET01d1>Go to the church in Gilmore and
check our assumptions. If we're
right, it will be incredible.<END>
<LOCe9b7><CH0>
Oh, drat. I left the Gilmoran Tearwhere I fought Achdam.

<CH3>
Oh, c'mon!!
We'd better go straight there an'
get it.<END>
<LOCea35>Well? Did you recover the GilmoranTear?<IF_NOT0179><JUMPeabd>

<SET01d1>Oh, you have it? Excellent.
<LOCea93>Hurry to Gilmore and investigate!<LOCeabd><END>
<LOCeabe><SET01d3>Oh? It seems we were right.

<CH3>
Hey, dad.
Gettin' the Swords is great, but
where's Agnija?

<CALLefd7>I see. I don't know the precise
location either.

<CH1>
Please, Ralph. Anything you know
may help.

If you know anything that may be
a clue, please share it.

<CALLefd7>Hmm...
...

Well, I'm not certain, but there
is an island called Nilgydd at thefar northern end of the world.
And there is a huge castle there.

Who built it, and when?
Is something hidden there?
What's inside it?
It's all shrouded in mystery.

Many people, thinking it may hold
ancient treasure, have attempted
to penetrate it.

But not one person has ever made
it through the stormy seas and
rugged mountains that surround it.

<IF03fc><JUMPee4e><CH3>
Ugh... a castle nobody can get to?That stinks.

<CH1>
But it does seem the sort of placewhere Agnija might be hidden.

<CH0>
We definitely need to go
look around.

<CH2>
You're right. Let's try going to
this Nilgydd place.<END>
<LOCee4e>What?! You were able to reach
Nilgydd?
What is it like?

<X1c>Ralph begins packing his bags.<X04>

<CH3>
Whoa, dad! What're ya doin'?

<CALLefd7>I've made up my mind. I'm going
to Nilgydd.

<CH1>
I'm afraid it's far too dangerous.It's nothing like the
Crystalspire.

<CH3>
Stop messin' around, dad!
Ya can do all the research ya wantlater, but now ain't the time!"
"ef9f","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。","<X1e>Priest<X04>
Please speak with me whenever
you are troubled."
"efd7","<X1e>ラルフ<X04><RETN>","<X1e>Ralph<X04><RETN>"
"efe0","<X1e>老人<X04><RETN>","<X1e>Old man<X04><RETN>"
