"*","Crystalspire basement"
"e1ff","<X1e>ラルフ<X04><RETN>","<X1e>Ralph<X04><RETN>"
"e208","<CALLe1ff>おっと あとは 頼んだぞ。","<CALLe1ff>Oh, my! I'll let you handle this."
"e224","<CALLe1ff>ひえっ 助けてくれ。","<CALLe1ff>Aiee! Help!"
"e23b","<CALLe1ff>うわっ こりゃ強そうだ。","<CALLe1ff>Oh, these seem quite strong!"
"e256","<CALLe1ff>こんな奴ら たいしたことないぜ。","<CALLe1ff>These guys aren't important!"
"e4fd","<IF0400><JUMPe50f><IF0401><JUMPe533><IF0402><JUMPe579><LOCe50f><CLEAR0400><X1e>ラルフ<X04>
ちょっと 待っててくれ。<END>
<LOCe533><CLEAR0401><X1e>ラルフ<X04>
ああっ やっぱり このカードは
カギのような役目だったのか。<END>
<LOCe579><CLEAR0402><SET0406><X1e>ラルフ<X04>
どれどれ 古文書でも 読んでみよう。こりゃ ボロボロだな。

ふーむ、こりゃ ずいぶんと
カラフルな 古文書だな。

『クリスタル水族館へようこそ !』
なんだろう 水族館というのは ？
字からすると 水生生物の屋形と
いうことかな。

『あなたも”光のエレベーター”に
  乗ってみませんか ？           』なんのことだろう ？

『世界初 !! 最新式エレベーターで
  最上階 展望水族館へ ご案内いた
  します。                      』

『現代科学の粋を結集して作られた
  光のエレベーターは反重力状態を
  局所的に作りだし あなたを 地上
  １０００メートルの浮遊フロアに

  お送りいたします。            』うーむ、古代の 専門用語が 多くて
どうも いまいち 意味が わからんな

他には 何か ないかな。

おお、こっちの古文書は さっきのに
比べると ずいぶん 地味だな。

! ･ ･ ･ ･。

こ、これは !!
光のエレベーターの 操作説明書だ。
ここに 書かれていることを
簡単に 説明してやろう。

光のエレベーターはな ある特定の
周波数と音色に反応して 作動する
ようになっているそうだ。

そして 起動装置となる リモコンと
呼ばれる物の ボタンを押すと
その音が出るそうだ。

<CH3>
おっさん、リモコンって なんだ ？

<X1e>ラルフ<X04>
なんでも、古代人が使った 便利な
道具ということ ぐらいしか わからん。

ほら、ここに リモコンとか いう物の絵が書かれているぞ。

<CH3>
なんだ、ただの銀の筒じゃねえか。

<X1e>ラルフ<X04>
なになに、これと同じエレベーターがウルフ・ビルにも あると 書いて
あるぞ。","<IF0400><JUMPe50f><IF0401><JUMPe533><IF0402><JUMPe579><LOCe50f><CLEAR0400><X1e>Ralph<X04>
Wait just a moment.<END>
<LOCe533><CLEAR0401><X1e>Ralph<X04>
Aha! I knew it! This Card
functions much like a key.<END>
<LOCe579><CLEAR0402><SET0406><X1e>Ralph<X04>
Now, to read some of these ancientdocuments. They seem quite worn.

Hmm. This seems like an unusually
colorful document.

  ""Visit the Crystal Aquarium!""
What could this ""aquarium"" be?
""Aqua,"" meaning ""water""...
A place to keep water? Or fish?

""You, too, can ride the Elevator
 of Light!""
What could that be?

""Let this first-in-the-world
 marvel guide you to the viewing
 aquarium on the highest floor!""

""This miracle of modern science
 uses localized antigravity to
 carry you 1000 meters high to a 
 hovering platform!""

Hmm. I don't understand some of
this ancient jargon.
Is that all it says?

This document seems much less
detailed than others I've seen.

!....

H-Here it is! An operation manual
for the Elevator of Light.
This explains it all in simple
language.

It seems this Elevator operates inresponse to particular aural
frequencies.

And by pressing a button on an
activation device called a
""remote,"" the necessary sounds
can be produced.

<CH3>
Hey, doc. A ""remote""? What's that?

<X1e>Ralph<X04>
Well, it's certainly a conveniencedevice used by ancient people.
Apart from that, I'm not sure.

Oh, here. They've drawn a picture
of a ""remote.""

<CH3>
Just looks like a regular silver
tube.

<X1e>Ralph<X04>
Hmm. And it says that the Lupo
Building uses the same sort of
Elevator."
"ea93","<LEADERea9f,ea9f,ea9f,eaac,ea9f>","<LEADERea9f,ea9f,ea9f,eaac,ea9f>"
"ea9f","ラルフさん !<RET_IL>","Ralph!<RET_IL>"
"eaac","おっさん !<RET_IL>","Doc!<RET_IL>"
"eab7","<LEADEReac3,eac3,eac3,ead5,eafd>","<LEADEReac3,eac3,eac3,ead5,eafd>"
